Name	version	*Laz/Tab	*Laz/Item Type	*Laz/Usage	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Staff of Conduit	100	Shock	Battle Staff	Inherent	1	1	24		12				4	404	inherent-staff		80	80	sor	595	1	6			2	5		armo	weap											0	1536
Staff of New Lightning Mastery	100	Shock	Battle Staff	Inherent	1	1	30		15				4	404	inherent-staff		80	80	sor	596	1	6			2	5		armo	weap											0	1536
Staff of Flame Bolt	100	Fire	War Staff	Inherent	1	1	1		0				4	405	inherent-staff		90	90	sor	573	1	7			3	6		armo	weap											0	1536
Staff of New Warmth	100	Fire	War Staff	Inherent	1	1	1		0				4	405	inherent-staff		90	90	sor	574	1	7			3	6		armo	weap											0	1536
Staff of Incinerate	100	Fire	War Staff	Inherent	1	1	6		3				4	405	inherent-staff		90	90	sor	575	1	7			3	6		armo	weap											0	1536
Staff of Flame Wave	100	Fire	War Staff	Inherent	1	1	12		6				4	405	inherent-staff		90	90	sor	576	1	7			3	6		armo	weap											0	1536
Staff of Blazing Spear	100	Fire	War Staff	Inherent	1	1	18		9				4	405	inherent-staff		90	90	sor	577	1	7			3	6		armo	weap											0	1536
Staff of Fire Serpent	100	Fire	War Staff	Inherent	1	1	24		12				4	405	inherent-staff		90	90	sor	578	1	7			3	6		armo	weap											0	1536
Staff of Devouring Flames	100	Fire	War Staff	Inherent	1	1	30		15				4	405	inherent-staff		90	90	sor	579	1	7			3	6		armo	weap											0	1536
Staff of New Fire Mastery	100	Fire	War Staff	Inherent	1	1	30		15				4	405	inherent-staff		90	90	sor	580	1	7			3	6		armo	weap											0	1536
Staff of Frost Bolt	100	Frost	War Staff	Inherent	1	1	1		0				4	405	inherent-staff		90	90	sor	581	1	7			3	6		armo	weap											0	1536
Staff of Ice Armor	100	Frost	War Staff	Inherent	1	1	6		3				4	405	inherent-staff		90	90	sor	582	1	7			3	6		armo	weap											0	1536
Staff of Frostbite	100	Frost	War Staff	Inherent	1	1	6		3				4	405	inherent-staff		90	90	sor	583	1	7			3	6		armo	weap											0	1536
Staff of Ice Storm	100	Frost	War Staff	Inherent	1	1	12		6				4	405	inherent-staff		90	90	sor	584	1	7			3	6		armo	weap											0	1536
Staff of Avalanche	100	Frost	War Staff	Inherent	1	1	18		9				4	405	inherent-staff		90	90	sor	585	1	7			3	6		armo	weap											0	1536
Staff of Hoarfrost	100	Frost	War Staff	Inherent	1	1	18		9				4	405	inherent-staff		90	90	sor	586	1	7			3	6		armo	weap											0	1536
Staff of Ice Nova	100	Frost	War Staff	Inherent	1	1	24		12				4	405	inherent-staff		90	90	sor	587	1	7			3	6		armo	weap											0	1536
Staff of New Cold Mastery	100	Frost	War Staff	Inherent	1	1	30		15				4	405	inherent-staff		90	90	sor	588	1	7			3	6		armo	weap											0	1536
Staff of Crackling Bolts	100	Shock	War Staff	Inherent	1	1	1		0				4	405	inherent-staff		90	90	sor	589	1	7			3	6		armo	weap											0	1536
Staff of Arc Lightning	100	Shock	War Staff	Inherent	1	1	6		3				4	405	inherent-staff		90	90	sor	590	1	7			3	6		armo	weap											0	1536
Staff of Electrocute	100	Shock	War Staff	Inherent	1	1	12		6				4	405	inherent-staff		90	90	sor	591	1	7			3	6		armo	weap											0	1536
Staff of Wave of Force	100	Shock	War Staff	Inherent	1	1	12		6				4	405	inherent-staff		90	90	sor	592	1	7			3	6		armo	weap											0	1536
Staff of Tempest	100	Shock	War Staff	Inherent	1	1	18		9				4	405	inherent-staff		90	90	sor	593	1	7			3	6		armo	weap											0	1536
Staff of Chaos Nexus	100	Shock	War Staff	Inherent	1	1	24		12				4	405	inherent-staff		90	90	sor	594	1	7			3	6		armo	weap											0	1536
Staff of Conduit	100	Shock	War Staff	Inherent	1	1	24		12				4	405	inherent-staff		90	90	sor	595	1	7			3	6		armo	weap											0	1536
Staff of New Lightning Mastery	100	Shock	War Staff	Inherent	1	1	30		15				4	405	inherent-staff		90	90	sor	596	1	7			3	6		armo	weap											0	1536
Staff of Flame Bolt	100	Fire	Dragonbone Staff	Inherent	1	1	1		0				4	406	inherent-staff		100	100	sor	573	1	8			3	7		armo	weap											0	1536
Staff of New Warmth	100	Fire	Dragonbone Staff	Inherent	1	1	1		0				4	406	inherent-staff		100	100	sor	574	1	8			3	7		armo	weap											0	1536
Staff of Incinerate	100	Fire	Dragonbone Staff	Inherent	1	1	6		3				4	406	inherent-staff		100	100	sor	575	1	8			3	7		armo	weap											0	1536
Staff of Flame Wave	100	Fire	Dragonbone Staff	Inherent	1	1	12		6				4	406	inherent-staff		100	100	sor	576	1	8			3	7		armo	weap											0	1536
Staff of Blazing Spear	100	Fire	Dragonbone Staff	Inherent	1	1	18		9				4	406	inherent-staff		100	100	sor	577	1	8			3	7		armo	weap											0	1536
Staff of Fire Serpent	100	Fire	Dragonbone Staff	Inherent	1	1	24		12				4	406	inherent-staff		100	100	sor	578	1	8			3	7		armo	weap											0	1536
Staff of Devouring Flames	100	Fire	Dragonbone Staff	Inherent	1	1	30		15				4	406	inherent-staff		100	100	sor	579	1	8			3	7		armo	weap											0	1536
Staff of New Fire Mastery	100	Fire	Dragonbone Staff	Inherent	1	1	30		15				4	406	inherent-staff		100	100	sor	580	1	8			3	7		armo	weap											0	1536
Staff of Frost Bolt	100	Frost	Dragonbone Staff	Inherent	1	1	1		0				4	406	inherent-staff		100	100	sor	581	1	8			3	7		armo	weap											0	1536
Staff of Ice Armor	100	Frost	Dragonbone Staff	Inherent	1	1	6		3				4	406	inherent-staff		100	100	sor	582	1	8			3	7		armo	weap											0	1536
Staff of Frostbite	100	Frost	Dragonbone Staff	Inherent	1	1	6		3				4	406	inherent-staff		100	100	sor	583	1	8			3	7		armo	weap											0	1536
Staff of Ice Storm	100	Frost	Dragonbone Staff	Inherent	1	1	12		6				4	406	inherent-staff		100	100	sor	584	1	8			3	7		armo	weap											0	1536
Staff of Avalanche	100	Frost	Dragonbone Staff	Inherent	1	1	18		9				4	406	inherent-staff		100	100	sor	585	1	8			3	7		armo	weap											0	1536
Staff of Hoarfrost	100	Frost	Dragonbone Staff	Inherent	1	1	18		9				4	406	inherent-staff		100	100	sor	586	1	8			3	7		armo	weap											0	1536
Staff of Ice Nova	100	Frost	Dragonbone Staff	Inherent	1	1	24		12				4	406	inherent-staff		100	100	sor	587	1	8			3	7		armo	weap											0	1536
Staff of New Cold Mastery	100	Frost	Dragonbone Staff	Inherent	1	1	30		15				4	406	inherent-staff		100	100	sor	588	1	8			3	7		armo	weap											0	1536
Staff of Crackling Bolts	100	Shock	Dragonbone Staff	Inherent	1	1	1		0				4	406	inherent-staff		100	100	sor	589	1	8			3	7		armo	weap											0	1536
Staff of Arc Lightning	100	Shock	Dragonbone Staff	Inherent	1	1	6		3				4	406	inherent-staff		100	100	sor	590	1	8			3	7		armo	weap											0	1536
Staff of Electrocute	100	Shock	Dragonbone Staff	Inherent	1	1	12		6				4	406	inherent-staff		100	100	sor	591	1	8			3	7		armo	weap											0	1536
Staff of Wave of Force	100	Shock	Dragonbone Staff	Inherent	1	1	12		6				4	406	inherent-staff		100	100	sor	592	1	8			3	7		armo	weap											0	1536
Staff of Tempest	100	Shock	Dragonbone Staff	Inherent	1	1	18		9				4	406	inherent-staff		100	100	sor	593	1	8			3	7		armo	weap											0	1536
Staff of Chaos Nexus	100	Shock	Dragonbone Staff	Inherent	1	1	24		12				4	406	inherent-staff		100	100	sor	594	1	8			3	7		armo	weap											0	1536
Staff of Conduit	100	Shock	Dragonbone Staff	Inherent	1	1	24		12				4	406	inherent-staff		100	100	sor	595	1	8			3	7		armo	weap											0	1536
Staff of New Lightning Mastery	100	Shock	Dragonbone Staff	Inherent	1	1	30		15				4	406	inherent-staff		100	100	sor	596	1	8			3	7		armo	weap											0	1536
Wand of Hex of Pain	100	Curses and Totem	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Interrogate the Dead	100	Curses and Totem	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Grim Totem	100	Curses and Totem	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Hex of Weakness	100	Curses and Totem	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Grim Sentinel	100	Curses and Totem	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Hex of Aging	100	Curses and Totem	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Grim Watcher	100	Curses and Totem	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Hex of Frailty	100	Curses and Totem	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Punisher	100	Poison and Spirit	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Corpse Lance	100	Poison and Spirit	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Putrid Explosion	100	Poison and Spirit	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Raise Skeleton	100	Summoning	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Undead Mastery	100	Summoning	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Salt the Earth	100	Summoning	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Raise Skeletal Mage	100	Summoning	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Rathma's Will	100	Summoning	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Wall of Zombies	100	Summoning	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Simulacrum	100	Summoning	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Revive	100	Summoning	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10										armo	weap											0	0
Wand of Hex of Pain	100	Curses and Totem	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10	nec	565	1	1						armo	weap											0	128
Wand of Interrogate the Dead	100	Curses and Totem	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10	nec	566	1	1						armo	weap											0	128
Wand of Grim Totem	100	Curses and Totem	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	567	1	1						armo	weap											0	128
Wand of Hex of Weakness	100	Curses and Totem	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	568	1	1						armo	weap											0	128
Wand of Grim Sentinel	100	Curses and Totem	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10	nec	569	1	1						armo	weap											0	128
Wand of Hex of Aging	100	Curses and Totem	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10	nec	570	1	1						armo	weap											0	128
Wand of Grim Watcher	100	Curses and Totem	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10	nec	571	1	1						armo	weap											0	128
Wand of Hex of Frailty	100	Curses and Totem	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10	nec	572	1	1						armo	weap											0	128
Wand of Punisher	100	Poison and Spirit	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10	nec	559	1	1						armo	weap											0	128
Wand of Corpse Lance	100	Poison and Spirit	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	560	1	1						armo	weap											0	128
Wand of Putrid Explosion	100	Poison and Spirit	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10	nec	563	1	1						armo	weap											0	128
Wand of Raise Skeleton	100	Summoning	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10	nec	549	1	1						armo	weap											0	128
Wand of Undead Mastery	100	Summoning	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10	nec	550	1	1						armo	weap											0	128
Wand of Salt the Earth	100	Summoning	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10	nec	551	1	1						armo	weap											0	128
Wand of Raise Skeletal Mage	100	Summoning	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	552	1	1						armo	weap											0	128
Wand of Rathma's Will	100	Summoning	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10	nec	553	1	1						armo	weap											0	128
Wand of Wall of Zombies	100	Summoning	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10	nec	554	1	1						armo	weap											0	128
Wand of Simulacrum	100	Summoning	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10	nec	555	1	1						armo	weap											0	128
Wand of Revive	100	Summoning	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10	nec	556	1	1						armo	weap											0	128
Wand of Hex of Pain	100	Curses and Totem	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10	nec	565	2	2						armo	weap											0	1024
Wand of Interrogate the Dead	100	Curses and Totem	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10	nec	566	2	2						armo	weap											0	1024
Wand of Grim Totem	100	Curses and Totem	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	567	2	2						armo	weap											0	1024
Wand of Hex of Weakness	100	Curses and Totem	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	568	2	2						armo	weap											0	1024
Wand of Grim Sentinel	100	Curses and Totem	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10	nec	569	2	2						armo	weap											0	1024
Wand of Hex of Aging	100	Curses and Totem	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10	nec	570	2	2						armo	weap											0	1024
Wand of Grim Watcher	100	Curses and Totem	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10	nec	571	2	2						armo	weap											0	1024
Wand of Hex of Frailty	100	Curses and Totem	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10	nec	572	2	2						armo	weap											0	1024
Wand of Punisher	100	Poison and Spirit	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10	nec	559	2	2						armo	weap											0	1024
Wand of Corpse Lance	100	Poison and Spirit	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	560	2	2						armo	weap											0	1024
Wand of Putrid Explosion	100	Poison and Spirit	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10	nec	563	2	2						armo	weap											0	1024
Wand of Raise Skeleton	100	Summoning	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10	nec	549	2	2						armo	weap											0	1024
Wand of Undead Mastery	100	Summoning	Wand	Inherent	1	1	1		0				4	410	inherent-wand		10	10	nec	550	2	2						armo	weap											0	1024
Wand of Salt the Earth	100	Summoning	Wand	Inherent	1	1	6		3				4	410	inherent-wand		10	10	nec	551	2	2						armo	weap											0	1024
Wand of Raise Skeletal Mage	100	Summoning	Wand	Inherent	1	1	12		6				4	410	inherent-wand		10	10	nec	552	2	2						armo	weap											0	1024
Wand of Rathma's Will	100	Summoning	Wand	Inherent	1	1	18		9				4	410	inherent-wand		10	10	nec	553	2	2						armo	weap											0	1024
Wand of Wall of Zombies	100	Summoning	Wand	Inherent	1	1	24		12				4	410	inherent-wand		10	10	nec	554	2	2						armo	weap											0	1024
Wand of Simulacrum	100	Summoning	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10	nec	555	2	2						armo	weap											0	1024
Wand of Revive	100	Summoning	Wand	Inherent	1	1	30		15				4	410	inherent-wand		10	10	nec	556	2	2						armo	weap											0	1024
Wand of Hex of Pain	100	Curses and Totem	Gemmed Wand	Inherent	1	1	1		0				4	411	inherent-wand		15	15	nec	565	1	3						armo	weap											0	1536
Wand of Interrogate the Dead	100	Curses and Totem	Gemmed Wand	Inherent	1	1	6		3				4	411	inherent-wand		15	15	nec	566	1	3						armo	weap											0	1536
Wand of Grim Totem	100	Curses and Totem	Gemmed Wand	Inherent	1	1	12		6				4	411	inherent-wand		15	15	nec	567	1	3						armo	weap											0	1536
Wand of Hex of Weakness	100	Curses and Totem	Gemmed Wand	Inherent	1	1	12		6				4	411	inherent-wand		15	15	nec	568	1	3						armo	weap											0	1536
Wand of Grim Sentinel	100	Curses and Totem	Gemmed Wand	Inherent	1	1	18		9				4	411	inherent-wand		15	15	nec	569	1	3						armo	weap											0	1536
Wand of Hex of Aging	100	Curses and Totem	Gemmed Wand	Inherent	1	1	18		9				4	411	inherent-wand		15	15	nec	570	1	3						armo	weap											0	1536
Wand of Grim Watcher	100	Curses and Totem	Gemmed Wand	Inherent	1	1	24		12				4	411	inherent-wand		15	15	nec	571	1	3						armo	weap											0	1536
Wand of Hex of Frailty	100	Curses and Totem	Gemmed Wand	Inherent	1	1	30		15				4	411	inherent-wand		15	15	nec	572	1	3						armo	weap											0	1536
Wand of Punisher	100	Poison and Spirit	Gemmed Wand	Inherent	1	1	6		3				4	411	inherent-wand		15	15	nec	559	1	3						armo	weap											0	1536
Wand of Corpse Lance	100	Poison and Spirit	Gemmed Wand	Inherent	1	1	12		6				4	411	inherent-wand		15	15	nec	560	1	3						armo	weap											0	1536
Wand of Putrid Explosion	100	Poison and Spirit	Gemmed Wand	Inherent	1	1	24		12				4	411	inherent-wand		15	15	nec	563	1	3						armo	weap											0	1536
Wand of Raise Skeleton	100	Summoning	Gemmed Wand	Inherent	1	1	1		0				4	411	inherent-wand		15	15	nec	549	1	3						armo	weap											0	1536
Wand of Undead Mastery	100	Summoning	Gemmed Wand	Inherent	1	1	1		0				4	411	inherent-wand		15	15	nec	550	1	3						armo	weap											0	1536
Wand of Salt the Earth	100	Summoning	Gemmed Wand	Inherent	1	1	6		3				4	411	inherent-wand		15	15	nec	551	1	3						armo	weap											0	1536
Wand of Raise Skeletal Mage	100	Summoning	Gemmed Wand	Inherent	1	1	12		6				4	411	inherent-wand		15	15	nec	552	1	3						armo	weap											0	1536
Wand of Rathma's Will	100	Summoning	Gemmed Wand	Inherent	1	1	18		9				4	411	inherent-wand		15	15	nec	553	1	3						armo	weap											0	1536
Wand of Wall of Zombies	100	Summoning	Gemmed Wand	Inherent	1	1	24		12				4	411	inherent-wand		15	15	nec	554	1	3						armo	weap											0	1536
Wand of Simulacrum	100	Summoning	Gemmed Wand	Inherent	1	1	30		15				4	411	inherent-wand		15	15	nec	555	1	3						armo	weap											0	1536
Wand of Revive	100	Summoning	Gemmed Wand	Inherent	1	1	30		15				4	411	inherent-wand		15	15	nec	556	1	3						armo	weap											0	1536
Wand of Hex of Pain	100	Curses and Totem	Yew Wand	Inherent	1	1	1		0				4	412	inherent-wand		20	20	nec	565	1	4						armo	weap											0	1536
Wand of Interrogate the Dead	100	Curses and Totem	Yew Wand	Inherent	1	1	6		3				4	412	inherent-wand		20	20	nec	566	1	4						armo	weap											0	1536
Wand of Grim Totem	100	Curses and Totem	Yew Wand	Inherent	1	1	12		6				4	412	inherent-wand		20	20	nec	567	1	4						armo	weap											0	1536
Wand of Hex of Weakness	100	Curses and Totem	Yew Wand	Inherent	1	1	12		6				4	412	inherent-wand		20	20	nec	568	1	4						armo	weap											0	1536
Wand of Grim Sentinel	100	Curses and Totem	Yew Wand	Inherent	1	1	18		9				4	412	inherent-wand		20	20	nec	569	1	4						armo	weap											0	1536
Wand of Hex of Aging	100	Curses and Totem	Yew Wand	Inherent	1	1	18		9				4	412	inherent-wand		20	20	nec	570	1	4						armo	weap											0	1536
Wand of Grim Watcher	100	Curses and Totem	Yew Wand	Inherent	1	1	24		12				4	412	inherent-wand		20	20	nec	571	1	4						armo	weap											0	1536
Wand of Hex of Frailty	100	Curses and Totem	Yew Wand	Inherent	1	1	30		15				4	412	inherent-wand		20	20	nec	572	1	4						armo	weap											0	1536
Wand of Punisher	100	Poison and Spirit	Yew Wand	Inherent	1	1	6		3				4	412	inherent-wand		20	20	nec	559	1	4						armo	weap											0	1536
Wand of Corpse Lance	100	Poison and Spirit	Yew Wand	Inherent	1	1	12		6				4	412	inherent-wand		20	20	nec	560	1	4						armo	weap											0	1536
Wand of Putrid Explosion	100	Poison and Spirit	Yew Wand	Inherent	1	1	24		12				4	412	inherent-wand		20	20	nec	563	1	4						armo	weap											0	1536
Wand of Raise Skeleton	100	Summoning	Yew Wand	Inherent	1	1	1		0				4	412	inherent-wand		20	20	nec	549	1	4						armo	weap											0	1536
Wand of Undead Mastery	100	Summoning	Yew Wand	Inherent	1	1	1		0				4	412	inherent-wand		20	20	nec	550	1	4						armo	weap											0	1536
Wand of Salt the Earth	100	Summoning	Yew Wand	Inherent	1	1	6		3				4	412	inherent-wand		20	20	nec	551	1	4						armo	weap											0	1536
Wand of Raise Skeletal Mage	100	Summoning	Yew Wand	Inherent	1	1	12		6				4	412	inherent-wand		20	20	nec	552	1	4						armo	weap											0	1536
Wand of Rathma's Will	100	Summoning	Yew Wand	Inherent	1	1	18		9				4	412	inherent-wand		20	20	nec	553	1	4						armo	weap											0	1536
Wand of Wall of Zombies	100	Summoning	Yew Wand	Inherent	1	1	24		12				4	412	inherent-wand		20	20	nec	554	1	4						armo	weap											0	1536
Wand of Simulacrum	100	Summoning	Yew Wand	Inherent	1	1	30		15				4	412	inherent-wand		20	20	nec	555	1	4						armo	weap											0	1536
Wand of Revive	100	Summoning	Yew Wand	Inherent	1	1	30		15				4	412	inherent-wand		20	20	nec	556	1	4						armo	weap											0	1536
Wand of Hex of Pain	100	Curses and Totem	Bone Wand	Inherent	1	1	1		0				4	413	inherent-wand		25	25	nec	565	1	5						armo	weap											0	1536
Wand of Interrogate the Dead	100	Curses and Totem	Bone Wand	Inherent	1	1	6		3				4	413	inherent-wand		25	25	nec	566	1	5						armo	weap											0	1536
Wand of Grim Totem	100	Curses and Totem	Bone Wand	Inherent	1	1	12		6				4	413	inherent-wand		25	25	nec	567	1	5						armo	weap											0	1536
Wand of Hex of Weakness	100	Curses and Totem	Bone Wand	Inherent	1	1	12		6				4	413	inherent-wand		25	25	nec	568	1	5						armo	weap											0	1536
Wand of Grim Sentinel	100	Curses and Totem	Bone Wand	Inherent	1	1	18		9				4	413	inherent-wand		25	25	nec	569	1	5						armo	weap											0	1536
Wand of Hex of Aging	100	Curses and Totem	Bone Wand	Inherent	1	1	18		9				4	413	inherent-wand		25	25	nec	570	1	5						armo	weap											0	1536
Wand of Grim Watcher	100	Curses and Totem	Bone Wand	Inherent	1	1	24		12				4	413	inherent-wand		25	25	nec	571	1	5						armo	weap											0	1536
Wand of Hex of Frailty	100	Curses and Totem	Bone Wand	Inherent	1	1	30		15				4	413	inherent-wand		25	25	nec	572	1	5						armo	weap											0	1536
Wand of Punisher	100	Poison and Spirit	Bone Wand	Inherent	1	1	6		3				4	413	inherent-wand		25	25	nec	559	1	5						armo	weap											0	1536
Wand of Corpse Lance	100	Poison and Spirit	Bone Wand	Inherent	1	1	12		6				4	413	inherent-wand		25	25	nec	560	1	5						armo	weap											0	1536
Wand of Putrid Explosion	100	Poison and Spirit	Bone Wand	Inherent	1	1	24		12				4	413	inherent-wand		25	25	nec	563	1	5						armo	weap											0	1536
Wand of Raise Skeleton	100	Summoning	Bone Wand	Inherent	1	1	1		0				4	413	inherent-wand		25	25	nec	549	1	5						armo	weap											0	1536
Wand of Undead Mastery	100	Summoning	Bone Wand	Inherent	1	1	1		0				4	413	inherent-wand		25	25	nec	550	1	5						armo	weap											0	1536
Wand of Salt the Earth	100	Summoning	Bone Wand	Inherent	1	1	6		3				4	413	inherent-wand		25	25	nec	551	1	5						armo	weap											0	1536
Wand of Raise Skeletal Mage	100	Summoning	Bone Wand	Inherent	1	1	12		6				4	413	inherent-wand		25	25	nec	552	1	5						armo	weap											0	1536
Wand of Rathma's Will	100	Summoning	Bone Wand	Inherent	1	1	18		9				4	413	inherent-wand		25	25	nec	553	1	5						armo	weap											0	1536
Wand of Wall of Zombies	100	Summoning	Bone Wand	Inherent	1	1	24		12				4	413	inherent-wand		25	25	nec	554	1	5						armo	weap											0	1536
Wand of Simulacrum	100	Summoning	Bone Wand	Inherent	1	1	30		15				4	413	inherent-wand		25	25	nec	555	1	5						armo	weap											0	1536
Wand of Revive	100	Summoning	Bone Wand	Inherent	1	1	30		15				4	413	inherent-wand		25	25	nec	556	1	5						armo	weap											0	1536
Wand of Hex of Pain	100	Curses and Totem	Totemic Wand	Inherent	1	1	1		0				4	414	inherent-wand		30	30	nec	565	1	6						armo	weap											0	1536
Wand of Interrogate the Dead	100	Curses and Totem	Totemic Wand	Inherent	1	1	6		3				4	414	inherent-wand		30	30	nec	566	1	6						armo	weap											0	1536
Wand of Grim Totem	100	Curses and Totem	Totemic Wand	Inherent	1	1	12		6				4	414	inherent-wand		30	30	nec	567	1	6						armo	weap											0	1536
Wand of Hex of Weakness	100	Curses and Totem	Totemic Wand	Inherent	1	1	12		6				4	414	inherent-wand		30	30	nec	568	1	6						armo	weap											0	1536
Wand of Grim Sentinel	100	Curses and Totem	Totemic Wand	Inherent	1	1	18		9				4	414	inherent-wand		30	30	nec	569	1	6						armo	weap											0	1536
Wand of Hex of Aging	100	Curses and Totem	Totemic Wand	Inherent	1	1	18		9				4	414	inherent-wand		30	30	nec	570	1	6						armo	weap											0	1536
Wand of Grim Watcher	100	Curses and Totem	Totemic Wand	Inherent	1	1	24		12				4	414	inherent-wand		30	30	nec	571	1	6						armo	weap											0	1536
Wand of Hex of Frailty	100	Curses and Totem	Totemic Wand	Inherent	1	1	30		15				4	414	inherent-wand		30	30	nec	572	1	6						armo	weap											0	1536
Wand of Punisher	100	Poison and Spirit	Totemic Wand	Inherent	1	1	6		3				4	414	inherent-wand		30	30	nec	559	1	6						armo	weap											0	1536
Wand of Corpse Lance	100	Poison and Spirit	Totemic Wand	Inherent	1	1	12		6				4	414	inherent-wand		30	30	nec	560	1	6						armo	weap											0	1536
Wand of Putrid Explosion	100	Poison and Spirit	Totemic Wand	Inherent	1	1	24		12				4	414	inherent-wand		30	30	nec	563	1	6						armo	weap											0	1536
Wand of Raise Skeleton	100	Summoning	Totemic Wand	Inherent	1	1	1		0				4	414	inherent-wand		30	30	nec	549	1	6						armo	weap											0	1536
Wand of Undead Mastery	100	Summoning	Totemic Wand	Inherent	1	1	1		0				4	414	inherent-wand		30	30	nec	550	1	6						armo	weap											0	1536
Wand of Salt the Earth	100	Summoning	Totemic Wand	Inherent	1	1	6		3				4	414	inherent-wand		30	30	nec	551	1	6						armo	weap											0	1536
Wand of Raise Skeletal Mage	100	Summoning	Totemic Wand	Inherent	1	1	12		6				4	414	inherent-wand		30	30	nec	552	1	6						armo	weap											0	1536
Wand of Rathma's Will	100	Summoning	Totemic Wand	Inherent	1	1	18		9				4	414	inherent-wand		30	30	nec	553	1	6						armo	weap											0	1536
Wand of Wall of Zombies	100	Summoning	Totemic Wand	Inherent	1	1	24		12				4	414	inherent-wand		30	30	nec	554	1	6						armo	weap											0	1536
Wand of Simulacrum	100	Summoning	Totemic Wand	Inherent	1	1	30		15				4	414	inherent-wand		30	30	nec	555	1	6						armo	weap											0	1536
Wand of Revive	100	Summoning	Totemic Wand	Inherent	1	1	30		15				4	414	inherent-wand		30	30	nec	556	1	6						armo	weap											0	1536
Wand of Hex of Pain	100	Curses and Totem	Grim Wand	Inherent	1	1	1		0				4	415	inherent-wand		35	35	nec	565	1	7						armo	weap											0	1536
Wand of Interrogate the Dead	100	Curses and Totem	Grim Wand	Inherent	1	1	6		3				4	415	inherent-wand		35	35	nec	566	1	7						armo	weap											0	1536
