description	*Laz/Usage	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Barbarian Sword + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bg4	wt4,mag						t07,mod			100	levelreq			1	1	inherent-bmel			-25	-25																																																																										0
Barbarian Sword + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bg5	wt4,mag						t07,mod			100	levelreq			1	1	inherent-bmel			-30	-30																																																																										0
Sword + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	swor	wt4,mag						t07,mod			100	levelreq			1	1																																																																															0
Barbarian Axe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	by1	wt4,mag						t08,mod			100	levelreq			1	1	inherent-bmel			-10	-10																																																																										0
Barbarian Axe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	by2	wt4,mag						t08,mod			100	levelreq			1	1	inherent-bmel			-20	-20																																																																										0
Barbarian Axe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	by3	wt4,mag						t08,mod			100	levelreq			1	1	inherent-bmel			-30	-30																																																																										0
Barbarian Axe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ty1	wt4,mag						t08,mod			100	levelreq			1	1	inherent-bmel			-10	-10																																																																										0
Barbarian Axe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ty2	wt4,mag						t08,mod			100	levelreq			1	1	inherent-bmel			-20	-20																																																																										0
Barbarian Axe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ty3	wt4,mag						t08,mod			100	levelreq			1	1	inherent-bmel			-30	-30																																																																										0
Axe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	aaxe	wt4,mag						t08,mod			100	levelreq			1	1																																																																															0
Crushing + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bonk	wt4,mag						t09,mod			100	levelreq			1	1	dmg-undead			50	50																																																																										0
Amazon Spear + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	aw1	wt4,mag						t10,mod			100	levelreq			1	1	inherent-aspe			-10	-10																																																																										0
Amazon Spear + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	aw2	wt4,mag						t10,mod			100	levelreq			1	1	inherent-aspe			-15	-15																																																																										0
Amazon Spear + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	aw3	wt4,mag						t10,mod			100	levelreq			1	1	inherent-aspe			-20	-20																																																																										0
Amazon Spear + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	aw4	wt4,mag						t10,mod			100	levelreq			1	1	inherent-aspe			-25	-25																																																																										0
Spear + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	spea	wt4,mag						t10,mod			100	levelreq			1	1																																																																															0
Scythe + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	scyh	wt4,mag						t11,mod			100	levelreq			1	1																																																																															0
Polearm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pole	wt4,mag						t12,mod			100	levelreq			1	1																																																																															0
Knife + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	knif	wt4,mag						t13,mod			100	levelreq			1	1																																																																															0
Xbow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	xbow	wt4,mag						t14,mod			100	levelreq			1	1																																																																															0
Amazon Bow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ac1	wt4,mag						t15,mod			100	levelreq			1	1	inherent-abow			-15	-15																																																																										0
Amazon Bow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ac2	wt4,mag						t15,mod			100	levelreq			1	1	inherent-abow			-20	-20																																																																										0
Amazon Bow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ac3	wt4,mag						t15,mod			100	levelreq			1	1	inherent-abow			-25	-25																																																																										0
Druid Bow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	to1	wt4,mag						t15,mod			100	levelreq			1	1	inherent-dbow			10	10																																																																										0
Druid Bow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	to2	wt4,mag						t15,mod			100	levelreq			1	1	inherent-dbow			15	15																																																																										0
Druid Bow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	to3	wt4,mag						t15,mod			100	levelreq			1	1	inherent-dbow			20	20																																																																										0
Bow + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bow	wt4,mag						t15,mod			100	levelreq			1	1																																																																															0
Bone Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	oz1	wt4,mag						t16,mod			100	levelreq			1	1	inherent-nxhm			-10	-10																																																																										0
Bone Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	oz2	wt4,mag						t16,mod			100	levelreq			1	1	inherent-nxhm			-20	-20																																																																										0
Druid Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	do1	wt4,mag						t16,mod			100	levelreq			1	1	inherent-pelt			-10	-10																																																																										0
Druid Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	do2	wt4,mag						t16,mod			100	levelreq			1	1	inherent-pelt			-15	-15																																																																										0
Druid Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	do3	wt4,mag						t16,mod			100	levelreq			1	1	inherent-pelt			-20	-20																																																																										0
Druid Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	do4	wt4,mag						t16,mod			100	levelreq			1	1	inherent-pelt			-25	-25																																																																										0
Druid Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	do5	wt4,mag						t16,mod			100	levelreq			1	1	inherent-pelt			-30	-30																																																																										0
Barbarian Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bp1	wt4,mag						t16,mod			100	levelreq			1	1	inherent-phlm			-10	-10																																																																										0
Barbarian Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bp2	wt4,mag						t16,mod			100	levelreq			1	1	inherent-phlm			-15	-15																																																																										0
Barbarian Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bp3	wt4,mag						t16,mod			100	levelreq			1	1	inherent-phlm			-20	-20																																																																										0
Barbarian Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bp4	wt4,mag						t16,mod			100	levelreq			1	1	inherent-phlm			-25	-25																																																																										0
Barbarian Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bp5	wt4,mag						t16,mod			100	levelreq			1	1	inherent-phlm			-30	-30																																																																										0
Amazon Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	af1	wt4,mag						t16,mod			100	levelreq			1	1	inherent-ahlm			-10	-10																																																																										0
Amazon Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	af2	wt4,mag						t16,mod			100	levelreq			1	1	inherent-ahlm			-15	-15																																																																										0
Amazon Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	af3	wt4,mag						t16,mod			100	levelreq			1	1	inherent-ahlm			-20	-20																																																																										0
Paladin Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pf1	wt4,mag						t16,mod			100	levelreq			1	1	inherent-chlm			-1	-1																																																																										0
Paladin Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pf2	wt4,mag						t16,mod			100	levelreq			1	1	inherent-chlm			-2	-2																																																																										0
Paladin Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pf3	wt4,mag						t16,mod			100	levelreq			1	1	inherent-chlm			-3	-3																																																																										0
Helm + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	helm	wt4,mag						t16,mod			100	levelreq			1	1																																																																															0
Bone Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	oh1	wt4,mag						t17,mod			100	levelreq			1	1	inherent-nxsd			-10	-10																																																																										0
Bone Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	oh2	wt4,mag						t17,mod			100	levelreq			1	1	inherent-nxsd			-15	-15																																																																										0
Bone Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	oh3	wt4,mag						t17,mod			100	levelreq			1	1	inherent-nxsd			-20	-20																																																																										0
Paladin Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pl1	wt4,mag						t17,mod			100	levelreq			1	1	inherent-ashd			-10	-10																																																																										0
Paladin Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pl2	wt4,mag						t17,mod			100	levelreq			1	1	inherent-ashd			-15	-15																																																																										0
Paladin Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pl3	wt4,mag						t17,mod			100	levelreq			1	1	inherent-ashd			-20	-20																																																																										0
Paladin Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pl4	wt4,mag						t17,mod			100	levelreq			1	1	inherent-ashd			-25	-25																																																																										0
Paladin Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	pl5	wt4,mag						t17,mod			100	levelreq			1	1	inherent-ashd			-30	-30																																																																										0
Barbarian Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bn1	wt4,mag						t17,mod			100	levelreq			1	1	inherent-bshd			-10	-10																																																																										0
Barbarian Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bn2	wt4,mag						t17,mod			100	levelreq			1	1	inherent-bshd			-15	-15																																																																										0
Barbarian Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bn3	wt4,mag						t17,mod			100	levelreq			1	1	inherent-bshd			-20	-20																																																																										0
Barbarian Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bn4	wt4,mag						t17,mod			100	levelreq			1	1	inherent-bshd			-25	-25																																																																										0
Barbarian Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	bn5	wt4,mag						t17,mod			100	levelreq			1	1	inherent-bshd			-30	-30																																																																										0
Necromancer Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	nk1	wt4,mag						t17,mod			100	levelreq			1	1	inherent-head			-10	-10																																																																										0
Necromancer Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	nk2	wt4,mag						t17,mod			100	levelreq			1	1	inherent-head			-15	-15																																																																										0
Necromancer Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	nk3	wt4,mag						t17,mod			100	levelreq			1	1	inherent-head			-20	-20																																																																										0
Necromancer Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	nk4	wt4,mag						t17,mod			100	levelreq			1	1	inherent-head			-25	-25																																																																										0
Necromancer Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	nk5	wt4,mag						t17,mod			100	levelreq			1	1	inherent-head			-30	-30																																																																										0
Shield + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	shld	wt4,mag						t17,mod			100	levelreq			1	1																																																																															0
Sorceress Torso + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	sz1	wt4,mag						t18,mod			100	levelreq			1	1	inherent-stor			-5	-5																																																																										0
Sorceress Torso + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	sz2	wt4,mag						t18,mod			100	levelreq			1	1	inherent-stor			-10	-10																																																																										0
Sorceress Torso + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	sz3	wt4,mag						t18,mod			100	levelreq			1	1	inherent-stor			-15	-15																																																																										0
Sorceress Torso + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	sz4	wt4,mag						t18,mod			100	levelreq			1	1	inherent-stor			-20	-20																																																																										0
Sorceress Torso + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	sz5	wt4,mag						t18,mod			100	levelreq			1	1	inherent-stor			-25	-25																																																																										0
Torso + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	tors	wt4,mag						t18,mod			100	levelreq			1	1																																																																															0
Belt + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	belt	wt4,mag						t19,mod			100	levelreq			1	1																																																																															0
Boot + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	boot	wt4,mag						t20,mod			100	levelreq			1	1																																																																															0
Glove + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	glov	wt4,mag						t21,mod			100	levelreq			1	1																																																																															0
Claw + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ka1	wt4,mag						t22,mod			100	levelreq			1	1	inherent-claw			-15	-15																																																																										0
Claw + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ka2	wt4,mag						t22,mod			100	levelreq			1	1	inherent-claw			-20	-20																																																																										0
Claw + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ka3	wt4,mag						t22,mod			100	levelreq			1	1	inherent-claw			-25	-25																																																																										0
Claw + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ka4	wt4,mag						t22,mod			100	levelreq			1	1	inherent-claw			-30	-30																																																																										0
Claw + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ka5	wt4,mag						t22,mod			100	levelreq			1	1	inherent-claw			-35	-35																																																																										0
Claw + Disenchant Scroll (magic) = enchant	Disenchant Scroll	1			0					2	ka6	wt4,mag						t22,mod			100	levelreq			1	1	inherent-claw			-40	-40																																																																										0
 trax + ax1 = transfer mods to item	Enchantment	1			0					2	trax	ax1						ax1,mod			100																																																																																				0
 trax + ax2 = transfer mods to item	Enchantment	1			0					2	trax	ax2						ax2,mod			100																																																																																				0
 trax + ax3 = transfer mods to item	Enchantment	1			0					2	trax	ax3						ax3,mod			100																																																																																				0
 trax + ax4 = transfer mods to item	Enchantment	1			0					2	trax	ax4						ax4,mod			100																																																																																				0
 trax + ax5 = transfer mods to item	Enchantment	1			0					2	trax	ax5						ax5,mod			100																																																																																				0
 trax + at1 = transfer mods to item	Enchantment	1			0					2	trax	at1						at1,mod			100																																																																																				0
 trax + at2 = transfer mods to item	Enchantment	1			0					2	trax	at2						at2,mod			100																																																																																				0
 trax + at3 = transfer mods to item	Enchantment	1			0					2	trax	at3						at3,mod			100																																																																																				0
 trax + at4 = transfer mods to item	Enchantment	1			0					2	trax	at4						at4,mod			100																																																																																				0
 trax + at5 = transfer mods to item	Enchantment	1			0					2	trax	at5						at5,mod			100																																																																																				0
 trsd + sd1 = transfer mods to item	Enchantment	1			0					2	trsd	sd1						sd1,mod			100																																																																																				0
 trsd + sd2 = transfer mods to item	Enchantment	1			0					2	trsd	sd2						sd2,mod			100																																																																																				0
 trsd + sd3 = transfer mods to item	Enchantment	1			0					2	trsd	sd3						sd3,mod			100																																																																																				0
 trsd + sd4 = transfer mods to item	Enchantment	1			0					2	trsd	sd4						sd4,mod			100																																																																																				0
 trsd + sd5 = transfer mods to item	Enchantment	1			0					2	trsd	sd5						sd5,mod			100																																																																																				0
 trsd + sd6 = transfer mods to item	Enchantment	1			0					2	trsd	sd6						sd6,mod			100																																																																																				0
 trsd + sd7 = transfer mods to item	Enchantment	1			0					2	trsd	sd7						sd7,mod			100																																																																																				0
 swor + ss1 = transfer mods to item	Enchantment	1			0					2	trsd	ss1						ss1,mod			100																																																																																				0
 swor + ss2 = transfer mods to item	Enchantment	1			0					2	trsd	ss2						ss2,mod			100																																																																																				0
 trsd + st1 = transfer mods to item	Enchantment	1			0					2	trsd	st1						st1,mod			100																																																																																				0
 trsd + st2 = transfer mods to item	Enchantment	1			0					2	trsd	st2						st2,mod			100																																																																																				0
 trsd + st3 = transfer mods to item	Enchantment	1			0					2	trsd	st3						st3,mod			100																																																																																				0
 trsd + st4 = transfer mods to item	Enchantment	1			0					2	trsd	st4						st4,mod			100																																																																																				0
 trsd + st5 = transfer mods to item	Enchantment	1			0					2	trsd	st5						st5,mod			100																																																																																				0
 trsd + st6 = transfer mods to item	Enchantment	1			0					2	trsd	st6						st6,mod			100																																																																																				0
 trbo + cb1 = transfer mods to item	Enchantment	1			0					2	trbo	cb1						cb1,mod			100																																																																																				0
 trbo + cb2 = transfer mods to item	Enchantment	1			0					2	trbo	cb2						cb2,mod			100																																																																																				0
 trbo + cb3 = transfer mods to item	Enchantment	1			0					2	trbo	cb3						cb3,mod			100																																																																																				0
 trbo + cb4 = transfer mods to item	Enchantment	1			0					2	trbo	cb4						cb4,mod			100																																																																																				0
 trbo + mc1 = transfer mods to item	Enchantment	1			0					2	trbo	mc1						mc1,mod			100	dmg-undead			-50	-50																																																																															0
 trbo + mc2 = transfer mods to item	Enchantment	1			0					2	trbo	mc2						mc2,mod			100	dmg-undead			-50	-50																																																																															0
 trbo + mc3 = transfer mods to item	Enchantment	1			0					2	trbo	mc3						mc3,mod			100	dmg-undead			-50	-50																																																																															0
 trbo + mt1 = transfer mods to item	Enchantment	1			0					2	trbo	mt1						mt1,mod			100	dmg-undead			-50	-50																																																																															0
 trbo + mt2 = transfer mods to item	Enchantment	1			0					2	trbo	mt2						mt2,mod			100	dmg-undead			-50	-50																																																																															0
 trbo + mt3 = transfer mods to item	Enchantment	1			0					2	trbo	mt3						mt3,mod			100	dmg-undead			-50	-50																																																																															0
 trbo + mt4 = transfer mods to item	Enchantment	1			0					2	trbo	mt4						mt4,mod			100	dmg-undead			-50	-50																																																																															0
 trsp + sp1 = transfer mods to item	Enchantment	1			0					2	trsp	sp1						sp1,mod			100																																																																																				0
 trsp + sp2 = transfer mods to item	Enchantment	1			0					2	trsp	sp2						sp2,mod			100																																																																																				0
 trsp + sp3 = transfer mods to item	Enchantment	1			0					2	trsp	sp3						sp3,mod			100																																																																																				0
 trsp + sp4 = transfer mods to item	Enchantment	1			0					2	trsp	sp4						sp4,mod			100																																																																																				0
 trsp + sp5 = transfer mods to item	Enchantment	1			0					2	trsp	sp5						sp5,mod			100																																																																																				0
 trpo + po1 = transfer mods to item	Enchantment	1			0					2	trpo	po1						po1,mod			100																																																																																				0
 trpo + po2 = transfer mods to item	Enchantment	1			0					2	trpo	po2						po2,mod			100																																																																																				0
 trpo + po3 = transfer mods to item	Enchantment	1			0					2	trpo	po3						po3,mod			100																																																																																				0
 trpo + po4 = transfer mods to item	Enchantment	1			0					2	trpo	po4						po4,mod			100																																																																																				0
 trsc + sc1 = transfer mods to item	Enchantment	1			0					2	trsx	sc1						sc1,mod			100																																																																																				0
 trsc + sc2 = transfer mods to item	Enchantment	1			0					2	trsx	sc2						sc2,mod			100																																																																																				0
 trsc + sc3 = transfer mods to item	Enchantment	1			0					2	trsx	sc3						sc3,mod			100																																																																																				0
 trwa + wa1 = transfer mods to item	Enchantment	1			0					2	trwa	wa1						wa1,mod			100	dmg-undead			-50	-50	inherent-wand			10	10																																																																										0
 trwa + wa2 = transfer mods to item	Enchantment	1			0					2	trwa	wa2						wa2,mod			100	dmg-undead			-50	-50	inherent-wand			15	15																																																																										0
 trwa + wa3 = transfer mods to item	Enchantment	1			0					2	trwa	wa3						wa3,mod			100	dmg-undead			-50	-50	inherent-wand			20	20																																																																										0
 trwa + wa4 = transfer mods to item	Enchantment	1			0					2	trwa	wa4						wa4,mod			100	dmg-undead			-50	-50	inherent-wand			25	25																																																																										0
 trwa + wa5 = transfer mods to item	Enchantment	1			0					2	trwa	wa5						wa5,mod			100	dmg-undead			-50	-50	inherent-wand			30	30																																																																										0
 trwa + wa6 = transfer mods to item	Enchantment	1			0					2	trwa	wa6						wa6,mod			100	dmg-undead			-50	-50	inherent-wand			35	35																																																																										0
 trwa + wa7 = transfer mods to item	Enchantment	1			0					2	trwa	wa7						wa7,mod			100	dmg-undead			-50	-50	inherent-wand			40	40																																																																										0
 trsc + sh1 = transfer mods to item	Enchantment	1			0					2	trsc	sh1						sh1,mod			100	dmg-undead			-50	-50	inherent-scepter			10	10																																																																										0
 trsc + sh2 = transfer mods to item	Enchantment	1			0					2	trsc	sh2						sh2,mod			100	dmg-undead			-50	-50	inherent-scepter			20	20																																																																										0
 trsc + sh3 = transfer mods to item	Enchantment	1			0					2	trsc	sh3						sh3,mod			100	dmg-undead			-50	-50	inherent-scepter			30	30																																																																										0
 trkn + kn1 = transfer mods to item	Enchantment	1			0					2	trkn	kn1						kn1,mod			100																																																																																				0
 trkn + kn2 = transfer mods to item	Enchantment	1			0					2	trkn	kn2						kn2,mod			100																																																																																				0
 trkn + kn3 = transfer mods to item	Enchantment	1			0					2	trkn	kn3						kn3,mod			100																																																																																				0
 trkn + kn4 = transfer mods to item	Enchantment	1			0					2	trkn	kn4						kn4,mod			100																																																																																				0
 trkn + kn5 = transfer mods to item	Enchantment	1			0					2	trkn	kn5						kn5,mod			100																																																																																				0
 trtk + ak1 = transfer mods to item	Enchantment	1			0					2	trtk	ak1						ak1,mod			100																																																																																				0
 trtk + ak2 = transfer mods to item	Enchantment	1			0					2	trtk	ak2						ak2,mod			100																																																																																				0
 trtk + ak3 = transfer mods to item	Enchantment	1			0					2	trtk	ak3						ak3,mod			100																																																																																				0
 trta + bt1 = transfer mods to item	Enchantment	1			0					2	trta	bt1						bt1,mod			100																																																																																				0
 trta + bt2 = transfer mods to item	Enchantment	1			0					2	trta	bt2						bt2,mod			100																																																																																				0
 trst + sa1 = transfer mods to item	Enchantment	1			0					2	trst	sa1						sa1,mod			100	dmg-undead			-50	-50	inherent-staff			40	40																																																																										0
 trst + sa2 = transfer mods to item	Enchantment	1			0					2	trst	sa2						sa2,mod			100	dmg-undead			-50	-50	inherent-staff			50	50																																																																										0
 trst + sa3 = transfer mods to item	Enchantment	1			0					2	trst	sa3						sa3,mod			100	dmg-undead			-50	-50	inherent-staff			60	60																																																																										0
 trst + sa4 = transfer mods to item	Enchantment	1			0					2	trst	sa4						sa4,mod			100	dmg-undead			-50	-50	inherent-staff			70	70																																																																										0
 trst + sa5 = transfer mods to item	Enchantment	1			0					2	trst	sa5						sa5,mod			100	dmg-undead			-50	-50	inherent-staff			80	80																																																																										0
 trst + sa6 = transfer mods to item	Enchantment	1			0					2	trst	sa6						sa6,mod			100	dmg-undead			-50	-50	inherent-staff			90	90																																																																										0
 trst + sa7 = transfer mods to item	Enchantment	1			0					2	trst	sa7						sa7,mod			100	dmg-undead			-50	-50	inherent-staff			100	100																																																																										0
 trbw + bo1 = transfer mods to item	Enchantment	1			0					2	trbw	bo1						bo1,mod			100																																																																																				0
 trbw + bo2 = transfer mods to item	Enchantment	1			0					2	trbw	bo2						bo2,mod			100																																																																																				0
 trbw + bo3 = transfer mods to item	Enchantment	1			0					2	trbw	bo3						bo3,mod			100																																																																																				0
 trbw + bo4 = transfer mods to item	Enchantment	1			0					2	trbw	bo4						bo4,mod			100																																																																																				0
 trbw + bo5 = transfer mods to item	Enchantment	1			0					2	trbw	bo5						bo5,mod			100																																																																																				0
 trbw + bo6 = transfer mods to item	Enchantment	1			0					2	trbw	bo6						bo6,mod			100																																																																																				0
 trbw + bo7 = transfer mods to item	Enchantment	1			0					2	trbw	bo7						bo7,mod			100																																																																																				0
 trbw + bo8 = transfer mods to item	Enchantment	1			0					2	trbw	bo8						bo8,mod			100																																																																																				0
 trxb + oo1 = transfer mods to item	Enchantment	1			0					2	trxb	oo1						oo1,mod			100																																																																																				0
 trxb + oo2 = transfer mods to item	Enchantment	1			0					2	trxb	oo2						oo2,mod			100																																																																																				0
 trxb + oo3 = transfer mods to item	Enchantment	1			0					2	trxb	oo3						oo3,mod			100																																																																																				0
 trxb + oo4 = transfer mods to item	Enchantment	1			0					2	trxb	oo4						oo4,mod			100																																																																																				0
 trcl + ka1 = transfer mods to item	Enchantment	1			0					2	trcl	ka1						ka1,mod			100	inherent-claw			15	15																																																																															0
 trcl + ka2 = transfer mods to item	Enchantment	1			0					2	trcl	ka2						ka2,mod			100	inherent-claw			20	20																																																																															0
 trcl + ka3 = transfer mods to item	Enchantment	1			0					2	trcl	ka3						ka3,mod			100	inherent-claw			25	25																																																																															0
 trcl + ka4 = transfer mods to item	Enchantment	1			0					2	trcl	ka4						ka4,mod			100	inherent-claw			30	30																																																																															0
 trcl + ka5 = transfer mods to item	Enchantment	1			0					2	trcl	ka5						ka5,mod			100	inherent-claw			35	35																																																																															0
 trcl + ka6 = transfer mods to item	Enchantment	1			0					2	trcl	ka6						ka6,mod			100	inherent-claw			40	40																																																																															0
 tror + or1 = transfer mods to item	Enchantment	1			0					2	tror	or1						or1,mod			100	dmg-undead			-50	-50	inherent-orb			10	10																																																																										0
 tror + or2 = transfer mods to item	Enchantment	1			0					2	tror	or2						or2,mod			100	dmg-undead			-50	-50	inherent-orb			15	15																																																																										0
 tror + or3 = transfer mods to item	Enchantment	1			0					2	tror	or3						or3,mod			100	dmg-undead			-50	-50	inherent-orb			20	20																																																																										0
 tror + or4 = transfer mods to item	Enchantment	1			0					2	tror	or4						or4,mod			100	dmg-undead			-50	-50	inherent-orb			25	25																																																																										0
 tror + or5 = transfer mods to item	Enchantment	1			0					2	tror	or5						or5,mod			100	dmg-undead			-50	-50	inherent-orb			30	30																																																																										0
 trbw + ac1 = transfer mods to item	Enchantment	1			0					2	trbw	ac1						ac1,mod			100	inherent-abow			15	15																																																																															0
 trbw + ac2 = transfer mods to item	Enchantment	1			0					2	trbw	ac2						ac2,mod			100	inherent-abow			20	20																																																																															0
 trbw + ac3 = transfer mods to item	Enchantment	1			0					2	trbw	ac3						ac3,mod			100	inherent-abow			25	25																																																																															0
 trsp + aw1 = transfer mods to item	Enchantment	1			0					2	trsp	aw1						aw1,mod			100	inherent-aspe			10	10																																																																															0
 trsp + aw2 = transfer mods to item	Enchantment	1			0					2	trsp	aw2						aw2,mod			100	inherent-aspe			15	15																																																																															0
 trsp + aw3 = transfer mods to item	Enchantment	1			0					2	trsp	aw3						aw3,mod			100	inherent-aspe			20	20																																																																															0
 trsp + aw4 = transfer mods to item	Enchantment	1			0					2	trsp	aw4						aw4,mod			100	inherent-aspe			25	25																																																																															0
 trax + by1 = transfer mods to item	Enchantment	1			0					2	trax	by1						by1,mod			100	inherent-bmel			10	10																																																																															0
 trax + by2 = transfer mods to item	Enchantment	1			0					2	trax	by2						by2,mod			100	inherent-bmel			20	20																																																																															0
