index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	worldevent	*eol
The Broken Crown		0	1		1		1	1	cc6	Crown		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Trollface		0	1		1		1	1	nz1	Mask		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ar1	Quilted Armor		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Belly of the Beast		0	1		1		1	1	ar2	Leather Armor		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Leather of Aut		0	1		1		1	1	ar3	Hard Leather Armor		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Carmen Arvale		0	1		1		1	1	ar4	Studded Leather 		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ar5	Ring Mail		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ar6	Scale Mail		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ar7	Chain Mail		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Jitan's Kamon		0	1		1		1	1	ar8	Breast Plate		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Splinter Mail		0	1		1		1	1	ar9	Splint Mail		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Skin of Kabraxis		0	1		1		1	1	ar0	Plate Mail		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Icetomb		0	1		1		1	1	aj1	Field Plate		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Scales of the Serpent		0	1		1		1	1	aj2	Gothic Plate		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	aj3	Light Plate		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Khazra Plate		0	1		1		1	1	aj4	Full Plate Mail		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Torn Flesh of Gods		0	1		1		1	1	aj5	Ancient Armor		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Wheel of Fortune		0	1		1		1	1	se1	Buckler		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	se2	Small Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	se3	Large Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
The Tannr Scutum		0	1		1		1	1	se4	Kite Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Shield of a Thousand Stars		0	1		1		1	1	se5	Tower Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Shield of Hakan II		0	1		1		1	1	se6	Gothic Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Geglash's Dusters		0	1		1		1	1	gl1	Leather Gloves		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Gloves of Worship		0	1		1		1	1	gl2	Heavy Gloves		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Facebreaker		0	1		1		1	1	gl3	Chain Gloves		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Deadman's Hand		0	1		1		1	1	gl4	Light Gauntlets		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Pollice Verso		0	1		1		1	1	gl5	Gauntlets		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Rabbit's Foot		0	1		1		1	1	bu1	Boots		0	0								375				move3	0	5	5	0	0	0	0	0	0	0	0	move3		5	5																														0
Death Spur		0	1		1		1	1	bu2	Heavy Boots		0	0								376				move3	0	8	8	0	0	0	0	0	0	0	0	move3		8	8																														0
Spirit Walkers		0	1		1		1	1	bu3	Chain Boots		0	0								377				move3	0	10	10	0	0	0	0	0	0	0	0	move3		10	10																														0
Akarat's Trek		0	1		1		1	1	bu4	Light Plated Boots		0	0								378				move3	0	12	12	0	0	0	0	0	0	0	0	move3		12	12																														0
Toesie Warmers		0	1		1		1	1	bu5	Greaves		0	0								379				move3	0	15	15	0	0	0	0	0	0	0	0	move3		15	15																														0
Cliffhanger		0	1		1		1	1	sx1	Sash		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
The Shame of Delsere		0	1		1		1	1	sx2	Light Belt		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Cord of the Sherma		0	1		1		1	1	sx3	Belt		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Hellcat Waistguard		0	1		1		1	1	sx4	Heavy Belt		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Edgewulf's Girdle		0	1		1		1	1	sx5	Plated Belt		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
The Prophet's Veil		0	1		1		1	1	oz1	Bone Helm		0	0								440				inherent-nxhm	0	10	10	0	0	0	0	0	0	0	0	inherent-nxhm		10	10																														0
Deathseer's Cowl		0	1		1		1	1	oz2	Death Helm		0	0								441				inherent-nxhm	0	20	20	0	0	0	0	0	0	0	0	inherent-nxhm		20	20																														0
The Pale		0	1		1		1	1	oh1	Bone Shield		0	0								450				inherent-nxsd	0	10	10	0	0	0	0	0	0	0	0	inherent-nxsd		10	10																														0
Black Sheep Wall		0	1		1		1	1	oh2	Totem Shield		0	0								451				inherent-nxsd	0	15	15	0	0	0	0	0	0	0	0	inherent-nxsd		15	15																														0
Wall of Man		0	1		1		1	1	oh3	Death Shield		0	0								452				inherent-nxsd	0	20	20	0	0	0	0	0	0	0	0	inherent-nxsd		20	20																														0
Ripstar		0	1		1		1	1	ok1	Spiked Shield		0	0								373				automagic-woundth	0	20	20	0	0	0	0	0	0	0	0	automagic-woundth		20	20																														0
		0	1		1		1	1	ok2	Bladed Shield		0	0								373				automagic-woundth	0	20	20	0	0	0	0	0	0	0	0	automagic-woundth		20	20																														0
		0	1		1		1	1	ok3	Barbed Shield		0	0								373				automagic-woundth	0	20	20	0	0	0	0	0	0	0	0	automagic-woundth		20	20																														0
Linarian's Furs		0	1		1		1	1	do1	Wolf Head		0	0								453				inherent-pelt	0	10	10	0	0	0	0	0	0	0	0	inherent-pelt		10	10																														0
Blackfeather		0	1		1		1	1	do2	Hawk Helm		0	0								454				inherent-pelt	0	15	15	0	0	0	0	0	0	0	0	inherent-pelt		15	15																														0
Dubhdroiacht		0	1		1		1	1	do3	Antlers		0	0								455				inherent-pelt	0	20	20	0	0	0	0	0	0	0	0	inherent-pelt		20	20																														0
Skythrone		0	1		1		1	1	do4	Falcon Mask		0	0								456				inherent-pelt	0	25	25	0	0	0	0	0	0	0	0	inherent-pelt		25	25																														0
		0	1		1		1	1	do5	Spirit Mask		0	0								457				inherent-pelt	0	30	30	0	0	0	0	0	0	0	0	inherent-pelt		30	30																														0
		0	1		1		1	1	bp1	Jawbone Cap		0	0								493				inherent-phlm	0	10	10	0	0	0	0	0	0	0	0	inherent-phlm		10	10																														0
Hellmaw		0	1		1		1	1	bp2	Fanged Helm		0	0								494				inherent-phlm	0	15	15	0	0	0	0	0	0	0	0	inherent-phlm		15	15																														0
Cornucopia		0	1		1		1	1	bp3	Horned Helm		0	0								495				inherent-phlm	0	20	20	0	0	0	0	0	0	0	0	inherent-phlm		20	20																														0
		0	1		1		1	1	bp4	Assault Helmet		0	0								496				inherent-phlm	0	25	25	0	0	0	0	0	0	0	0	inherent-phlm		25	25																														0
Bul Kathos' Voice		0	1		1		1	1	bp5	Avenger Guard		0	0								497				inherent-phlm	0	30	30	0	0	0	0	0	0	0	0	inherent-phlm		30	30																														0
Chalice of Tears		0	1		1		1	1	pl1	Targe		0	0								464				inherent-ashd	0	10	10	0	0	0	0	0	0	0	0	inherent-ashd		10	10																														0
Lightforge		0	1		1		1	1	pl2	Rondache		0	0								465				inherent-ashd	0	15	15	0	0	0	0	0	0	0	0	inherent-ashd		15	15																														0
		0	1		1		1	1	pl3	Heraldic Shield		0	0								466				inherent-ashd	0	20	20	0	0	0	0	0	0	0	0	inherent-ashd		20	20																														0
Akarat's Witness		0	1		1		1	1	pl4	Aerin Shield		0	0								467				inherent-ashd	0	25	25	0	0	0	0	0	0	0	0	inherent-ashd		25	25																														0
		0	1		1		1	1	pl5	Crown Shield		0	0								468				inherent-ashd	0	30	30	0	0	0	0	0	0	0	0	inherent-ashd		30	30																														0
Idol of Rygnar		0	1		1		1	1	nk1	Preserved Head		0	0								445				inherent-head	0	10	10	0	0	0	0	0	0	0	0	inherent-head		10	10																														0
Gregus Mazi's Nkisi		0	1		1		1	1	nk2	Zombie Head		0	0								446				inherent-head	0	15	15	0	0	0	0	0	0	0	0	inherent-head		15	15																														0
Shukrani's Triumph		0	1		1		1	1	nk3	Unraveller Head		0	0								447				inherent-head	0	20	20	0	0	0	0	0	0	0	0	inherent-head		20	20																														0
Ursua's Trodden Effigy		0	1		1		1	1	nk4	Gargoyle Head		0	0								448				inherent-head	0	25	25	0	0	0	0	0	0	0	0	inherent-head		25	25																														0
		0	1		1		1	1	nk5	Demon Head		0	0								449				inherent-head	0	30	30	0	0	0	0	0	0	0	0	inherent-head		30	30																														0
Eyes of Septumos		0	1		1		1	1	cq1	Circlet		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Crown of the Vasan Queen		0	1		1		1	1	cq2	Coronet		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Maiden Mother Crown		0	1		1		1	1	cq3	Tiara		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Uhkapian Serpent		0	1		1		1	1	cq4	Diadem		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	af1	Hunter's Headdress		0	0								473				inherent-ahlm	0	10	10	0	0	0	0	0	0	0	0	inherent-ahlm		10	10																														0
		0	1		1		1	1	af2	Hoplite Helm		0	0								474				inherent-ahlm	0	15	15	0	0	0	0	0	0	0	0	inherent-ahlm		15	15																														0
Ylfe Ban		0	1		1		1	1	af3	Einherjar Crown		0	0								475				inherent-ahlm	0	20	20	0	0	0	0	0	0	0	0	inherent-ahlm		20	20																														0
Crown of Rakkis		0	1		1		1	1	pf1	Spangenhelm		0	0								461				inherent-chlm	0	1	1	0	0	0	0	0	0	0	0	inherent-chlm		1	1																														0
		0	1		1		1	1	pf2	Jousting Helm		0	0								462				inherent-chlm	0	2	2	0	0	0	0	0	0	0	0	inherent-chlm		2	2																														0
Warhelm of Kassar		0	1		1		1	1	pf3	Vallary Crown		0	0								463				inherent-chlm	0	3	3	0	0	0	0	0	0	0	0	inherent-chlm		3	3																														0
Nor Tiraj's Turinash		0	1		1		1	1	sz1	Sorcerer's Coat		0	0								498				inherent-stor	0	5	5	0	0	0	0	0	0	0	0	inherent-stor		5	5																														0
Wisdom's Wrap		0	1		1		1	1	sz2	Xian Wizard Cuirass		0	0								499				inherent-stor	0	10	10	0	0	0	0	0	0	0	0	inherent-stor		10	10																														0
Lachdanan's Visage		0	1		1		1	1	sz3	Black Mage Armor		0	0								500				inherent-stor	0	15	15	0	0	0	0	0	0	0	0	inherent-stor		15	15																														0
Zharesh Battlerobes		0	1		1		1	1	sz4	Astral Plate		0	0								501				inherent-stor	0	20	20	0	0	0	0	0	0	0	0	inherent-stor		20	20																														0
		0	1		1		1	1	sz5	Angelic Armor		0	0								502				inherent-stor	0	25	25	0	0	0	0	0	0	0	0	inherent-stor		25	25																														0
		0	1		1		1	1	bn1	Gilded Buckler		0	0								488				inherent-bshd	0	10	10	0	0	0	0	0	0	0	0	inherent-bshd		10	10																														0
		0	1		1		1	1	bn2	Meteoric Shield		0	0								489				inherent-bshd	0	15	15	0	0	0	0	0	0	0	0	inherent-bshd		15	15																														0
		0	1		1		1	1	bn3	Tribal Pavise		0	0								490				inherent-bshd	0	20	20	0	0	0	0	0	0	0	0	inherent-bshd		20	20																														0
Golden Fleece		0	1		1		1	1	bn4	Horned Shield		0	0								491				inherent-bshd	0	25	25	0	0	0	0	0	0	0	0	inherent-bshd		25	25																														0
Helepolis		0	1		1		1	1	bn5	Riveted Shield		0	0								492				inherent-bshd	0	30	30	0	0	0	0	0	0	0	0	inherent-bshd		30	30																														0
		0	1		1		1	1	ml1	Cold Iron Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Danmaku		0	1		1		1	1	ml2	Sovereign Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Hypnodisk		0	1		1		1	1	ml3	Galvanized Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0			1		1	1	ml4	Jousting Shield		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Ring of the Five		0	1		1		1	1	rin	Ring		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Sigil of Tul Dulra		0	1		1		1	1	rin	Ring		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Krede's Flame		0	1		1		1	1	rin	Ring		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	rin	Ring		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Seal of the Nephalem Kings		0	1		1		1	1	rin	Ring		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Black Dwarf		0	1		1		1	1	amu	Amulet		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Xephirian Amulet		0	1		1		1	1	amu	Amulet		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Habacalva's Firestar		0	1		1		1	1	amu	Amulet		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Talisman of Aranoch		0	1		1		1	1	amu	Amulet		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
The Star of Azkaranth		0	1		1		1	1	amu	Amulet		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Dragon's Egg		0	1		1		1	1	jew	Jewel		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Arkenstone		0	1		1		1	1	jew	Jewel		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Etched Sigil		0	1		1		1	1	jew	Jewel		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
The Madstone		0	1		1		1	1	jew	Jewel		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Cornerstone of the World		0	1		1		1	1	jew	Jewel		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
QQ		0	1		1		1	1	rin	Ring		0	0								#N/B				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
