skill	*Id	*Laz2	*Laz/Level	*Laz	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Crimson Lotus	445	Demon Hunter	6	Crimson Lotus	ass	crimson lotus		18																			meditatelife		10		hpregen	edmn*256/25																																																		assassin_venom																																1	9		none												SQ	SQ	xx	10	5																										((20*blvl)>(stat('vitality'.base)))?(stat('newskills'.accr)+1):1	6	20					Azure Lotus									0	1	1				0	8	0	0	1	1																																														1								8																2	2	2	2	2	2							stat('item_healingskill_percent'.accr)+stat('skillmod_druid_1'.accr)						1		256	10	0
New Weapon Block	448	Demon Hunter	12	Weapon Block	ass	new weapon block																																											weaponblock	h2h		passive_weaponblock	dm12																																																													1	0		rng		h2h					h2h					SC	SC	SC				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	12	10					Crimson Lotus	Cold Blood								0	0					0	8	0	0	1								1															19	block % chance min	64	block % chance max																					1								8																																		10		512	80	0
Allure	449	Demon Hunter	18	Allure	ass	allure		71																		34179		taunt	ln78		item_tohit_percent	ln12	velocitypercent	dm34																																														1	assassin_psychichammer	assassin_chargeup_tiger_1						venomclaws				fist_will_cast																						1	9		none												SC	SC	S2				1																1						assassin_psychichammer		((20*blvl)>(stat('energy'.base)))?(stat('newskills'.accr)+1):1	18	10					Crimson Lotus									1	1					50	8	50	0	1																							-10	target attack rating % base	-2	target attack rating % per level	19	velocity % min	59	velocity % max					100	duration base	10	duration per level									1								8																																		2		640	160	0
Hidden Knives	450	Demon Hunter	24	Hidden Knives	ass	hidden knives																																											skillonhit2	hibl		item_skillonhit	dm12																																																													1	0		rng												SC	SC	SC				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	24	10					Cold Blood									0	0					0	8	0	0	1								1															12	ctc % min	26	ctc % max																					1								8																																		10		768	320	0
Psychic Scream	451	Demon Hunter	30	Psychic Scream	ass	psychic scream		22													psychicscreamfear							terror																																																					assassin_psychichammer	assassin_shadow_death_1						venomclaws				fist_will_cast				25						psychicscreamfear				ln12-par1	missile velocity adder							1	1		none												SC	SC	xx				1																1						assassin_psychichammer		((20*blvl)>(stat('energy'.base)))?(stat('newskills'.accr)+1):1	30	10					Allure								250*(100+stat('item_assassin_timer_percent'.accr)+stat('item_timer_percent'.accr))/100	0	1					150	8	150	0	1											0	missile speed adder	ln34	fear distance	ln56	fear duration											24	fear distance base	5	fear distance per level	50	fear duration base	5	fear duration per level													1								8																																		2		896	640	0
Blur	452	Demon Hunter	30	Blur	ass	blur																																											evade			passive_evade	dm12																																																													1	0		rng												SC	SC	SC				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	30	10					Hidden Knives									0	0					0	8	0	0	1								1															3	evasion % min	53	evasion % max																					1								8																																		10		896	640	0
New Bash	453	Berserker	1	Bash	bar	new bash	32	2																																																																										barbarian_grunt_small_1	1																															1	7		h2h		mele										A1	A1	xx				1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	1	10								1						1	1					2	8	2	0	1											ln12	damage %	ln34	flat damage	0	attack speed %	0	% damage dealt as elemental					25	damage % base	10	damage % per level	1	flat damage base	1	flat damage per level																	1	20	10		8		112		8	128																																	4		256	10	0
Intimidate	454	Berserker	6	Intimidate	bar	intimidate	32	2																		2	intimidate				item_howl	128	item_preventheal	128																																																barbarian_howl_1																																1	1		h2h		mele										A1	A1	xx				1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	6	10								1						1	1					2	8	2	0	1											dm12	damage %	ln34	flat damage	0	attack speed %	0	% damage dealt as elemental					-54	damage % min	-24	damage % max	0	flat damage base	0	flat damage per level																	1	50	20						8	128																																	4		384	30	0
New Leap Attack	455	Berserker	12	Leap Attack	bar	new leap attack	41	78																	bash																																																							1		barbarian_leapattack_1													30	44																		1	7		none		mele										SQ	A1	xx	14		1		4	1									1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	12	10								1						1	1					10	8	10	0	1											ln12	damage %	ln78	leap speed %			0	% damage dealt as elemental					150	damage % base	20	damage % per level									150	leap speed % base	10	leap speed % per level									1	50	30				96		8	128														stun														50	5	5	5	stat('item_barbarian_leapattack'.accr)+stat('skillmod_barbarian_3'.accr)	4		512	80	0
Windshear	456	Berserker	12	Windshear	bar	windshear	6	11													windshearwave	windshearwave	windshearwave																																																																									19						windshearwave	windshearwave	windshearwave										1	7		h2h		mele										A1	A1	xx				1		1	1								1													((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	12	10					New Bash			1						1	1			1		15	8	15	0	1											15	bolts created					par7	% damage dealt as elemental													11	range base (display only)	1	range per level (display only)	50	damage conversion %											1	10	5						8	64														mag	3	1	1	1	1	1	9	3	3	3	3	3	(((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100))+stat('skillmod_barbarian_1'.accr)						4		512	80	0
Onslaught	457	Berserker	18	Onslaught	bar	onslaught	37	13																																																																								1															53	21																		1	7		h2h		mele										A1	A1	xx	9					1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	18	10					Windshear	Intimidate		1						1	1					10	8	10	0												par6	number of hits	ln34	damage %			0	% damage dealt as elemental							100	% Anim frame rollback	20	damage % base	5	damage % per level			3	number of hits													1	20	10						8	128																																	4		640	160	0
Tremor	458	Berserker	24	Tremor	bar	tremor	6	11													tremorcenter	tremorcenter	tremorcenter																																																											barbarian_shout_1	1													19						tremorcenter	tremorcenter	tremorcenter										1	9		h2h		mele										A1	A1	xx				1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	24	10					Onslaught			1					(par7-dm56)*(100+stat('item_timer_percent'.accr))/100	1	1					50	8	50	0	1											1	bolts created	ln34*(100+stat('skillmod_barbarian_3'.accr))/100	stun duration			0	% damage dealt as elemental									75	stun duration base	5	stun duration per level	0	cooldown decrease min	200	cooldown decrease max	405	cooldown											1	100	50						8	192																																	4		768	320	0
New Whirlwind	459	Berserker	24	Whirlwind	bar	new whirlwind	38	76	1																		whirlwind																																																					1	barbarian_whirlwind														31	45	1																	1	9		none	2	mele										SQ	A1	xx	10		1	1		1									1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	24	10					New Leap Attack			1						1	1					60	8	60	0												ln12	damage %											-50	damage % base	15	damage % per level																					1	10	5						8	128																																	0		768	320	0
Gathering Storm	460	Berserker	30	Gathering Storm	bar	gathering storm	6	11													gatheringstormmissile	gatheringstormmissile	gatheringstormmissile							4																																																																		19						gatheringstormmissile	gatheringstormmissile	gatheringstormmissile										1	7		h2h		mele										A1	A1	xx				1		1	1								1													((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	30	10					New Whirlwind	Windshear		1						1	1					15	8	15	0	1											1	bolts created					par7	% damage dealt as elemental													50	duration base (display only)	10	duration per level (display only)	50	damage conversion %											1	20	10						8	32														mag	16	4	4	4	4	4	32	8	8	8	8	8	(((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100))+stat('skillmod_barbarian_1'.accr)						4		896	640	0
Bear Claw	461	Raider	1	Bear Claw	bar	bear claw	4											bearclawthrow	1																																																																												11						bearclawthrow													1	5		rng		taxe										TH	TH	xx				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	1	10								1						1	1			1		2	8	2	0	1													ln34*(100+stat('skillmod_barbarian_3'.accr))/100	stun duration													25	stun duration base	5	stun duration per level	10	range base (display only)	1	range per level (display only)													1	10	5						8	96																																	5		256	10	0
Dual Strike	462	Raider	1	Dual Strike	bar	dual strike	25	46																																																																																																										1	7		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	1	10								1						1	1					2	8	2	0	1											ln12	damage %	ln34	flat damage			0	% damage dealt as elemental					50	damage % base	15	damage % per level	1	flat damage base	1	flat damage per level							0	always hit									1	25	15						8	128																																	4		256	10	0
Dual Throw	463	Raider	6	Dual Throw	bar	dual throw		74																																																																																							11	42																		1	5		rng	3	taxe					taxe					SQ	TH	xx	15		1	1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	6	10					Bear Claw			1						1	1					2	8	2	0	1											ln12	damage %											50	damage % base	15	damage % per level																					1	20	10						8	128																																	5		384	30	0
Ricochet	464	Raider	12	Ricochet	bar	ricochet	4	26											1		ricochetthrow	ricochetthrow	ricochetthrow							min(ln12,18)																																																							weapon_throw_1										11	27						ricochetthrow	ricochetthrow	ricochetthrow										1	5		rng		taxe										TH	TH	SC				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	12	10					Bear Claw			1						1	1					6	8	6	0	1											dm34+stat('item_barbarian_ricochets'.accr)	jumps											6	seek radius base	1	seek radius per level	2	jump targets min	8	jump targets max																	1								8	96																																	5		512	80	0
Hailstorm	465	Raider	18	Hailstorm	bar	hailstorm		43						ln12					1		scatterthrow									par3																																																							weapon_throw_1											5						scatterthrow												1	7		rng		taxe										TH	TH	xx				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	18	10					Ricochet			1						1	1					12	8	12	0	1																							20	missiles base	1	missiles per level	10	radius																			1								8	96																																	5		768	320	0
Ferocity	466	Raider	18	Ferocity	bar	ferocity	67	9																			ferocity		par8		attackrate	dm56	passive_dodge	dm34	passive_avoid	dm34	passive_evade	dm34	progressive_ferocity	lvl																																																								39																		1	7		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	18	10					Dual Strike			1						1	1					15	8	15	0	1											(((110 * stat('progressive_ferocity'.accr)) * (par2 - par1)) / (100 * (stat('progressive_ferocity'.accr) + 6)) + par1)-par7	damage %					0	% damage dealt as elemental					-2	damage % min stacks	48	damage % max stacks	0	avoidance % min stacks	100	avoidance % max stacks	20	attack speed % min stacks	220	attack speed % max stacks	0	damage % base	20	duration									1			(((110 * stat('progressive_ferocity'.accr)) * (par4 - par3)) / (100 * (stat('progressive_ferocity'.accr) + 6)) + par3)	1				8	128																																	4		640	160	0
Spinning Axe	467	Raider	24	Spinning Axe	bar	spinning axe	4											spinningaxethrow	1	1										2																																																																	11						spinningaxethrow													1	7		rng		taxe										TH	TH	xx				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	24	10					Hailstorm			1						1	1			1		20	8	20	0	1																															75	duration base (display only)	10	duration per level (display only)													1	10	5						8	32														mag	12	3	3	3	3	3	28	7	7	7	7	7	(((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100))+stat('skillmod_barbarian_1'.accr)						5		768	320	0
Rip and Tear	468	Raider	30	Rip and Tear	bar	rip and tear	5	54																		33667	monfrenzy			4																																																			weapon_giant_1		1		weapon_giant_1																													1	9		h2h	3	mele					mele					SQ	A2	A2	10	5	1	1											1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	30	10					Ferocity			1						1	1		1			15	8	15	0																																																1	15	10		1				8	96																																	4		896	640	0
Bandage	469	Veteran	1	Bandage	bar	bandage		18																			bandageheal		par8		hpregen	edmn*256/25	velocitypercent	par7																																																barbarian_command_1	1																															1	9		none												SC	SC	SC				1																								((20*blvl)>(stat('vitality'.base)))?(stat('newskills'.accr)+1):1	1	10								1					(par4-dm56)*(100+stat('item_timer_percent'.accr))/100	0	1					10	8	10	0	1	1																						1	life % restored min	61	life % restored max			265	cooldown	0	cooldown decrease min	100	cooldown decrease max	-50	speed modifier %	50	duration									1								8																10	10	10	10	10	10							stat('item_healingskill_percent'.accr)+stat('skillmod_druid_1'.accr)						8		256	10	0
Woad	470	Veteran	6	Woad	bar	woad																																											generalpassive1			item_manaafterkill	edmn	item_manaonstriking	dm12																																																											1	0		none												SC	SC	xx				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	6	10														0	0					0	8	0	0	1								1															0	mana on striking min	10	mana on striking max																					1								8																2	2	2	2	2	2													10		384	30	0
Endurance	471	Veteran	6	Endurance	bar	endurance																																											increasedspeed			velocitypercent	dm12	skill_passive_staminapercent	ln34																																																											1	0		none												SC	SC	xx				1																								((20*blvl)>(stat('vitality'.base)))?(stat('newskills'.accr)+1):1	6	10					Bandage									0	0					0	8	0	0	1								1															1	velocity % min	31	velocity % max	50	stamina % base	10	stamina % per level																	1								8																																		10		384	30	0
Weapon Mastery	472	Veteran	12	Weapon Mastery	bar	weapon mastery																																											axemastery	weap		item_tohit_percent	ln12	passive_mastery_melee_dmg	dm34	passive_mastery_melee_crit	dm56	passive_mastery_throw_dmg	dm34	passive_mastery_throw_crit	dm56																																																					1	0		none												SC	SC	xx				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	12	10														0	0					0	8	0	0	1								1															30	attack rating % base	15	attack rating % per level	0	damage % min	100	damage % max	0	critical strike % min	35	critical strike % max													1								8																																		10		512	80	0
Brute Force	473	Veteran	18	Brute Force	bar	brute force																								par8																			bruteforce	bruf		item_skillonhit	dm12																																																													1	0		none												SC	SC	SC				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	18	10					Endurance	Woad								0	0					0	8	0	0	1								1															1	ctc % min	31	ctc % max											4	blast radius									1								8	96																																	10		640	160	0
Death or Glory	474	Veteran	24	Death or Glory	bar	death or glory																																											aurapassive	dogi		item_aura	lvl																																																													1	0		none												SC	SC	SC				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	24	10					Brute Force									0	0					0	8	0	0	1								1															0	attack speed % min	100	attack speed % max	30	damage % base	10	damage % per level																	1								8																																		10		768	320	0
Veteran	475	Veteran	30	Veteran	bar	veteran																																											generalpassive2			item_strength_percent	dm12	item_dexterity_percent	dm12	item_energy_percent	dm12	item_vitality_percent	dm12																																																							1	0		none												SC	SC	xx				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	30	10					Endurance									0	0					0	8	0	0	1								1															0	all attributes % min	35	all attributes % max																					1								8																																		10		896	640	0
Barge	476	Veteran	30	Barge	bar	barge		139													barge																																																												weapon_giant_1	barbarian_warcry_1	1												18	81						barge		bargedust										1	9		none												A1	A1	xx				1																1								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	30	10					Weapon Mastery	Veteran		1					(par7-dm56)*(100+stat('item_timer_percent'.accr))/100	1	1					60	8	60	0	1																							50	range base (display only)	10	range per level (display only)					0	cooldown decrease min	200	cooldown decrease max	405	cooldown											1				8		112		8																																		11	-3	896	640	0
New Jab	477	Spearmaiden	1	Jab	ama	new jab	5	7																																																																										amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																		1	5		h2h		spea										SQ	A1	xx	1		1	1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	1	10														1	1					2	8	2	0												ln34	damage %					0	% damage dealt as elemental									-15	damage % base	5	damage % per level																	1	15	10						8	128																																	4		256	10	0
New Impale	478	Spearmaiden	6	Impale	ama	new impale	32	2																			attackbuff1				attackrate	par8	skill_concentration	128																																																amazon_impale_1	1	1																														1	5		h2h		spea										SQ	A1	xx	1		1	1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	6	10					New Jab									1	1					3	8	3	0	1											ln12	damage %	ln34	flat damage	par5	attack speed %	0	% damage dealt as elemental					250	damage % base	20	damage % per level	10	flat damage base	10	flat damage per level							30	attack speed %									1	100	50		8		112		8	128														stun														75	5	5	5	stat('item_amazon_impale'.accr)+stat('skillmod_barbarian_3'.accr)	4		384	30	0
New Spear Mastery	479	Spearmaiden	6	Spear Mastery	ama	new spear mastery																																											spearmastery	spea		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	dm34	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																								((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	6	10														0	0					0	8	0	0	1								1															30	attack rating % base	15	attack rating % per level	0	damage % min	100	damage % max	0	critical strike % min	35	critical strike % max													1								8																																		10		384	30	0
Crackling Strike	480	Spearmaiden	12	Crackling Strike	ama	crackling strike	32	11													cracklingstrikecenter	cracklingstrikecenter	cracklingstrikecenter				enchantedspear				attackrate	par8	item_manaonstrikingmelee	(-1)*skill('Battle Momentum'.ln12)																																																														19						cracklingstrikecenter	cracklingstrikecenter	cracklingstrikecenter										1	7		h2h		spea										A1	A1	xx				1		1	1								1													((20*blvl)>(stat('energy'.base)))?(stat('newskills'.accr)+1):1	12	10					New Impale									1	1			1		20	8	20	0	1											1	bolts created					par7	% damage dealt as elemental																	50	damage conversion %	-20	attack speed %									1	30	15						8															ltng	1						30	15	15	15	15	15	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)+stat('skillmod_amazon_2'.accr)						4		512	80	0
Lunge	481	Spearmaiden	18	Lunge	ama	lunge	31	67																																																																								1		amazon_jab_1													25	37																		1	5		none		spea										SQ	A1	xx	4		1				1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	18	10					New Impale	New Spear Mastery								1	1					15	8	15	0	1											ln34	damage %	ln12	velocity %			0	% damage dealt as elemental					150	velocity % base	10	velocity % per level	100	damage %	15	damage % per level																	1	100	50				96		8	128														stun														25	3	3	3	stat('skillmod_barbarian_3'.accr)	13		640	160	0
New Fury	482	Spearmaiden	18	Fury	ama	new fury	32	2																			furystate				attackrate	dm78	other_animrate	dm78																																																	1																															1	5		h2h		spea										A1	A1	xx			1	1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	18	10					New Impale									1	1					15	8	15	0	1											ln12	damage %	ln34	flat damage	par5	attack speed %	0	% damage dealt as elemental					-25	damage % base	10	damage % per level	0	flat damage base	0	flat damage per level	0	attack speed %			41	attack speed % min	101	attack speed % max									1	10	5						8	128																																	4		640	160	0
Pantheon Strike	483	Spearmaiden	24	Pantheon Strike	ama	pantheon strike	32	11													pantheonstrikewave	pantheonstrikewave	pantheonstrikewave				enchantedspear				attackrate	par8	item_manaonstrikingmelee	(-1)*skill('Battle Momentum'.ln12)																																																														19						pantheonstrikewave	pantheonstrikewave	pantheonstrikewave										1	9		h2h		spea										A1	A1	xx				1		1	1								1													((20*blvl)>(stat('energy'.base)))?(stat('newskills'.accr)+1):1	24	10					Crackling Strike									1	1			1		100	8	100	0	1											8	bolts created					par7	% damage dealt as elemental																	50	damage conversion %	-20	attack speed %									1	50	25						8															ltng	1						80	20	20	20	20	20	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)+stat('skillmod_amazon_2'.accr)						4		768	320	0
Breakthrough	484	Spearmaiden	30	Breakthrough	ama	breakthrough	38	76	1																		breakthrough		10		velocitypercent	dm78	attackrate	dm78																																														1		amazon_impale_1			weapon_2ht_1										31	45	1																	1	7		none		spea										SQ	A1	xx	10		1			1									1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	30	10					Lunge									1	1					30	8	30	0												ln12	damage %	50										-30	damage % base	20	damage % per level									85	speed modifier % min	185	speed modifier % max									1		5						8	128																																	0		896	640	0
Double Shot	485	Huntress	1	Double Shot	ama	double shot	4	8										doubleshotdelay	1		doubleshotarrow	doubleshotarrow																																																																									11	17					doubleshotdelay	doubleshotarrow	doubleshotarrow											1	3		rng		bow										A1	A1	xx				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	1	10														1	1					3	8	3	0	1											1	bolts created	1	activation frame	2	missiles that can trigger events							10	range base (display only)	2	range per level (display only)																					1								8	96																																	5		256	10	0
Bow Mastery	486	Huntress	6	Bow Mastery	ama	bow mastery																																											spearmastery	miss		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	dm34	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	6	10														0	0					0	8	0	0	1								1															30	attack rating % base	15	attack rating % per level	0	damage % min	100	damage % max	0	critical strike % min	35	critical strike % max													1								8																																		10		384	30	0
Chain Shot	487	Huntress	12	Chain Shot	ama	chain shot	4	26											1		chainshotarrow	chainshotarrow	chainshotarrow							min(ln12,35)																																																																	11	27						chainshotarrow	chainshotarrow	chainshotarrow										1	5		rng		bow										A1	A1	xx				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	12	10					Double Shot									1	1					6	8	6	0	1											dm34+stat('item_amazon_chainshot'.accr)	jumps											10	seek radius base	1	seek radius per level	3	jump targets min	9	jump targets max																	1								8	64																																	5		512	80	0
Blast Arrow	488	Huntress	12	Blast Arrow	ama	blast arrow	4											blastarrow	1											par1																																																			sorceress_cast_fire														11						blastarrow													1	7		rng		bow										A1	A1	xx				1																								((20*blvl)>(stat('energy'.base)))?(stat('newskills'.accr)+1):1	12	10					Double Shot									1	1					30	8	30	0	1											par1	blast radius											3	blast radius																							1								8	128														fire	45	15	15	15	15	15	60	20	20	20	20	20	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)+stat('skillmod_amazon_3'.accr)						5		512	80	0
Spread Shot	489	Huntress	18	Spread Shot	ama	spread shot	4	2										trickshotcenter	1											min(ln34,35)																																																																	11	1					trickshotcenter													1	5		rng		bow										A1	A1	xx				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	18	10					Chain Shot									1	1					10	8	10	0	1																											10	target seek range base	1	target seek range per level																	1								8	64																																	5		640	160	0
New Pierce	490	Huntress	24	Pierce	ama	new pierce																																											generalpassive2			item_pierce	dm12																																																													1	0		none												SC	SC	xx				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	24	10					Spread Shot	Bow Mastery								0	0					0	8	0	0	1								1															4	pierce % min	44	pierce % max																					1								8																																		10		768	320	0
Hellstorm Arrow	491	Huntress	24	Hellstorm Arrow	ama	hellstorm arrow	4											hellstormarrow	1																																																														sorceress_cast_fire														11						hellstormarrow													1	9		rng		bow										A1	A1	xx				1																								((20*blvl)>(stat('energy'.base)))?(stat('newskills'.accr)+1):1	24	10					Blast Arrow									1	1					200	8	200	0	1																																															1								4	128														fire	16	4	4	4	4	4	24	6	6	6	6	6	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)+stat('skillmod_amazon_3'.accr)						5		768	320	0
Fragmenting Shot	492	Huntress	30	Fragmenting Shot	ama	fragmenting shot	4											breakarrow	1																																																																												11						breakarrow													1	7		rng		bow										A1	A1	xx				1																								((20*blvl)>(stat('dexterity'.base)))?(stat('newskills'.accr)+1):1	30	10					Spread Shot									1	1					20	8	20	0	1																																															1								8	48																																	5		896	640	0
Askari Sight	493	Survival	1	Askari Sight	ama	askari sight		6																		34179		innersight	ln34*(100+stat('skillmod_amazon_1'.accr))/100	ln56	item_armor_percent	(-1)*dm12																																																	amazon_eyeofzeus	amazon_dodge_1										cast_innersight																						1	1		none												SC	SC	xx					0															1						amazon_eyeofzeus	cast_innersight	((20*blvl)>(stat('energy'.base)))?(stat('newskills'.accr)+1):1	1	10								1					par7*(100+stat('item_amazon_timer_percent'.accr)+stat('item_timer_percent'.accr))/100	0	1					5	8	5	0	1																							20	armor penalty % min	90	armor penalty % max	150	duration base	10	duration per level	40	range base	2	range per level	500	cooldown											1								8																																		2		256	10	0
Skartara Kick	494	Survival	1	Skartara Kick	ama	skartara kick	32	2																																																																										amazon_dodge_1	1																															1	3		h2h												KK	KK	xx				1		1	1								1													((20*blvl)>(stat('strength'.base)))?(stat('newskills'.accr)+1):1	1	10								1						1	1		1			3	8	3	0												par1	damage %											-50	damage %																							1				8		112																	stun														15	5	5	5	stat('skillmod_barbarian_3'.accr)	4		256	10	0
