Stat	*ID	*Laz/Usage	*Laz/Min	*Laz/Max	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
item_vitality_bytime	277					1	22										4		0		22	0	22	0			6			vitality										180	17		ModStr1c	ModStr1c										0
item_tohit_bytime	278					1	22										4		0		22	0	22	0			6			tohit					1					180	17		ModStr1h	ModStr1h										0
item_tohitpercent_bytime	279					1	22										4		0		22	0	22	0			6			item_tohit_percent					1					180	18		ModStr4c	ModStr4c										0
item_cold_damagemax_bytime	280					1	22										4		0		22	0	22	0			6			coldmaxdam					1					180	17		ModStr1s	ModStr1s										0
item_fire_damagemax_bytime	281					1	22										4		0		22	0	22	0			6			firemaxdam					1					180	17		ModStr1o	ModStr1o										0
item_ltng_damagemax_bytime	282					1	22										4		0		22	0	22	0			6			lightmaxdam					1					180	17		ModStr1q	ModStr1q										0
item_pois_damagemax_bytime	283					1	22										4		0		22	0	22	0			6			poisonmaxdam					1					180	17		ModStr4h	ModStr4h										0
item_resist_cold_bytime	284					1	22										4		0		22	0	22	0			6			coldresist										180	18		ModStr1k	ModStr1k										0
item_resist_fire_bytime	285					1	22										4		0		22	0	22	0			6			fireresist										180	18		ModStr1j	ModStr1j										0
item_resist_ltng_bytime	286					1	22										4		0		22	0	22	0			6			lightresist										180	18		ModStr1l	ModStr1l										0
item_resist_pois_bytime	287					1	22										4		0		22	0	22	0			6			poisonresist										180	18		ModStr1n	ModStr1n										0
item_absorb_cold_bytime	288					1	22										4		0		22	0	22	0			6			item_absorbcold										180	18		ModStre9p	ModStre9p									2	0
item_absorb_fire_bytime	289					1	22										4		0		22	0	22	0			6			item_absorbfire										180	18		ModStre9o	ModStre9o									2	0
item_absorb_ltng_bytime	290					1	22										4		0		22	0	22	0			6			item_absorblight										180	18		ModStre9q	ModStre9q									2	0
item_absorb_pois_bytime	291					1	22										4		0		22	0	22	0			6			item_absorbmagic																							2	0
item_find_gold_bytime	292					1	22										4		0		22	0	22	0			6			item_goldbonus										180	18		ModStr1w	ModStr1w										0
item_find_magic_bytime	293					1	22										4		0		22	0	22	0			6			item_magicbonus										180	18		ModStr1x	ModStr1x										0
item_regenstamina_bytime	294					1	22										4		0		22	0	22	0			6			staminarecoverybonus										180	18		ModStr3v	ModStr3v										0
item_stamina_bytime	295					1	22										4		0		22	0	22	0			6			maxstamina										180	17		ModStr5d	ModStr5d										0
item_damage_demon_bytime	296					1	22										4		0		22	0	22	0			6			item_demondamage_percent					1					180	18		ModStr4e	ModStr4e										0
item_damage_undead_bytime	297					1	22										4		0		22	0	22	0			6			item_undeaddamage_percent					1					180	18		ModStr4f	ModStr4f										0
item_tohit_demon_bytime	298					1	22										4		0		22	0	22	0			6			item_demon_tohit					1					180	17		ModStr4j	ModStr4j										0
item_tohit_undead_bytime	299					1	22										4		0		22	0	22	0			6			item_undead_tohit					1					180	17		ModStr4k	ModStr4k										0
item_crushingblow_bytime	300					1	22										4		0		22	0	22	0			6			item_crushingblow					1					180	18		ModStr5c	ModStr5c										0
item_openwounds_bytime	301					1	22										4		0		22	0	22	0			6			item_openwounds					1					180	18		ModStr3m	ModStr3m										0
item_kick_damage_bytime	302					1	22										4		0		22	0	22	0			6			item_kickdamage					1					180	17		ModStr5e	ModStr5e										0
item_deadlystrike_bytime	303					1	22										4		0		22	0	22	0			6			item_deadlystrike					1					180	18		ModStr5q	ModStr5q										0
item_find_gems_bytime	304					1											4		0																																			0
item_pierce_cold	305					1	9											1432	513				8	50																88	19		Moditemenrescoldsk	Moditemenrescoldsk										0
item_pierce_fire	306					1	9											1240	497				8	50																88	19		Moditemenresfiresk	Moditemenresfiresk										0
item_pierce_ltng	307					1	9											1187	481				8	50																88	19		Moditemenresltngsk	Moditemenresltngsk										0
item_pierce_pois	308					1	9											1322	506				8	50																88	19		Moditemenrespoissk	Moditemenrespoissk										0
item_damage_vs_monster	309					1																													1																			0
item_damage_percent_vs_monster	310					1																													1																			0
item_tohit_vs_monster	311					1																													1																			0
item_tohit_percent_vs_monster	312					1																													1																			0
item_ac_vs_monster	313					1																																																0
item_ac_percent_vs_monster	314					1																																																0
firelength	315					1	16																																															0
burningmin	316					1	16																																															0
burningmax	317					1	16																																															0
progressive_damage	318					1	3																																															0
progressive_steal	319					1	3																																															0
progressive_other	320					1	3																																															0
progressive_fire	321					1	3																																															0
progressive_cold	322					1	3																																															0
progressive_lightning	323					1	3																																															0
item_extra_charges	324		0	64		1	6														6	0	6	0											1																			0
progressive_tohit	325					1	16																																															0
poison_count	326					1	5																												1																			0
damage_framerate	327					1	8																																															0
pierce_idx	328					1	6																																															0
passive_fire_mastery	329					1	12											1117	415		8	0	9	50																88	19		ModitemdamFiresk	ModitemdamFiresk		4	19		ModAllMastery	ModAllMastery			2	0
passive_ltng_mastery	330					1	12											1054	408		8	0	9	50																88	19		ModitemdamLtngsk	ModitemdamLtngsk		4	19		ModAllMastery	ModAllMastery			2	0
passive_cold_mastery	331					1	12											1295	379		8	0	9	50																88	19		ModitemdamColdsk	ModitemdamColdsk		4	19		ModAllMastery	ModAllMastery			2	0
passive_pois_mastery	332					1	12											978	394		8	0	9	50																88	19		ModitemdamPoissk	ModitemdamPoissk		4	19		ModAllMastery	ModAllMastery			2	0
passive_fire_pierce	333					1	9												2578		8	0	8	0																88	19		Moditemenresfiresk	Moditemenresfiresk		5	19		ModAllPierce	ModAllPierce			2	0
passive_ltng_pierce	334					1	9												2493		8	0	8	0																88	19		Moditemenresltngsk	Moditemenresltngsk		5	19		ModAllPierce	ModAllPierce			2	0
passive_cold_pierce	335					1	9												1984		8	0	8	0																88	19		Moditemenrescoldsk	Moditemenrescoldsk		5	19		ModAllPierce	ModAllPierce			2	0
passive_pois_pierce	336					1	9												2345		8	0	8	0																88	19		Moditemenrespoissk	Moditemenrespoissk		5	19		ModAllPierce	ModAllPierce			2	0
passive_critical_strike	337					1	9														8	0	8	0																														0
passive_dodge	338		0	128		1	9														7	0	7	0																30	19		ModDodge	ModDodge		3	19		ModAllAvoidance	ModAllAvoidance				0
passive_avoid	339		0	128		1	9														7	0	7	0																31	19		ModAvoid	ModAvoid		3	19		ModAllAvoidance	ModAllAvoidance				0
passive_evade	340		0	128		1	9														7	0	7	0																32	19		ModEvade	ModEvade		3	19		ModAllAvoidance	ModAllAvoidance				0
passive_warmth	341					1	9														8	0	8	0																														0
passive_mastery_melee_th	342					1	11	16													8	0	8	0																														0
passive_mastery_melee_dmg	343					1	11	16													8	0	8	0																														0
passive_mastery_melee_crit	344					1	9	16													8	0	8	0																														0
passive_mastery_throw_th	345					1	11	16													8	0	8	0																														0
passive_mastery_throw_dmg	346					1	11	16													8	0	8	0																														0
passive_mastery_throw_crit	347					1	9	16													8	0	8	0																														0
passive_weaponblock	348					1	9	16													8	0	8	0																														0
passive_summon_resist	349					1	9														8	0	8	0																														0
modifierlist_skill	350						9																																															0
modifierlist_level	351						8																																															0
last_sent_hp_pct	352					1	8																																															0
source_unit_type	353						5																																															0
source_unit_id	354						32																																															0
shortparam1	355						16																																															0
questitemdifficulty	356																						2	0																														0
passive_mag_mastery	357		-50	462		1	12											1211	431		8	0	9	50																						4	19		ModAllMastery	ModAllMastery				0
passive_mag_pierce	358		0	256		1	9												2812		8	0	8	0																						5	19		ModAllPierce	ModAllPierce				0
skill_cooldown	359						8																																															0
skill_missile_damage_scale	360						8																																															0
placeholder361	361	placeholder																			14	0																																0
placeholder362	362	placeholder																			14	0																																0
placeholder363	363	placeholder																			14	0																																0
placeholder364	364	placeholder																			14	0																																0
placeholder365	365	placeholder																			14	0																																0
placeholder366	366	placeholder																			14	0																																0
placeholder367	367	placeholder																			14	0																																0
placeholder368	368	placeholder																			14	0																																0
placeholder369	369	placeholder																			14	0																																0
placeholder370	370	placeholder																			14	0																																0
placeholder371	371	placeholder																			14	0																																0
placeholder372	372	placeholder																			14	0																																0
placeholder373	373	placeholder																			14	0																																0
placeholder374	374	placeholder																			14	0																																0
placeholder375	375	placeholder																			14	0																																0
placeholder376	376	placeholder																			14	0																																0
placeholder377	377	placeholder																			14	0																																0
placeholder378	378	placeholder																			14	0																																0
herb_active	379	deprecated				0	1														1	0																																0
skill_circleofdeath_active	380	necromancer				0	9														1	0	9	0																														0
skill_druidfire_active	381	druid				0	2														1	0	2	0																														0
skill_druidcold_active	382	druid				0	2														1	0	2	0																														0
skill_druidlightning_active	383	druid				0	2														1	0	2	0																														0
skill_druid_iswolf	384	druid				1	2							1							2	0	2	0																														0
skill_druid_isbear	385	druid				1	2							1							2	0	2	0																														0
skill_druid_israt	386	druid				1	2							1							2	0	2	0																														0
skill_healoncast	387	deprecated				1	9							1				972	404		9	0	9	0												doactive	28	damagedbymissile	28															0
skill_sorcmulticast_cold	388	sorceress				1	2														2	0	2	0																														0
skill_flamebolt_count	389	sorceress				1	5											492	282		5	0	5	0																														0
progressive_ferocity	390	barbarian				1	5																																															0
stat_aura1	391	deprecated				1	5							1												1																												0
stat_aura2	392	deprecated				1	5							1												1																												0
flag_gem	393	itemstatcost.txt				1	2														1	0	1	0																														0
flag_rune	394	itemstatcost.txt				1	2														1	0	1	0																														0
flag_unique	395	uniques.txt				1	2														1	0	1	0																														0
flag_set	396	setitems.txt				1	2														1	0	1	0																														0
item_strength_percent	397		-50	78		1	8											250	110		7	0	7	50			11			strength										74	19		ModStrPercent	ModStrPercent		3	2	1	ModAllPercents					0
item_dexterity_percent	398		-50	78		1	8											200	110		7	0	7	50			11			dexterity										74	19		ModDexPercent	ModDexPercent		3	2	1	ModAllPercents					0
item_energy_percent	399		-50	78		1	8											250	110		7	0	7	50			11			energy										74	19		ModEnrPercent	ModEnrPercent		3	2	1	ModAllPercents					0
item_vitality_percent	400		-50	78		1	8											200	110		7	0	7	50			11			vitality										74	19		ModVitPercent	ModVitPercent		3	2	1	ModAllPercents					0
item_potion_effectiveness	401		-50	206		1	8											21	25		1	0	8	50																40	19		ModPotionEffectiveness	ModPotionEffectiveness									2	0
item_healonstriking	402		0	32		1	6							1				1727	599		1	0	5	0												domeleedamage	28	domissiledamage	28	17	19		ModLifeOnStriking	ModLifeOnStriking									2	0
item_manaonstriking	403		0	32		1	6							1				1250	505		1	0	5	0												domeleedamage	17	domissiledamage	17	17	19		ModManaOnStriking	ModManaOnStriking									2	0
item_healonstrikingmelee	404		0	32		1	6							1				972	404		1	0	5	0												domeleedamage	28			16	19		ModLifeOnStrikingMelee	ModLifeOnStriking									2	0
item_manaonstrikingmelee	405		0	32		1	6							1				728	392		1	0	5	0												domeleedamage	17			16	19		ModManaOnStrikingMelee	ModManaOnStriking									2	0
item_healonstrikingranged	406	amazon				1	6							1				870	451		1	0	5	0												domissiledamage	28																	0
item_manaonstrikingranged	407	amazon				1	6							1				848	400		1	0	5	0												domissiledamage	17																	0
item_healwhenstruck	408		0	64		1	7							1				902	411		1	0	6	0												damagedinmelee	28	damagedbymissile	28	17	19		ModLifeWhenStruck	ModLifeWhenStruck									2	0
item_manawhenstruck	409		0	64		1	7							1				641	300		1	0	6	0												damagedinmelee	17	damagedbymissile	17	17	19		ModManaWhenStruck	ModManaWhenStruck									2	0
item_skillonhitmelee	410					1	7	16						1			2	190	256		21	0	7	0	16										1	domeleedamage	20																	0
item_skillonhitranged	411					1	7	16						1			2	281	309		21	0	7	0	16										1	domissiledamage	20																	0
item_skillongethitmelee	412					1	7	16						1			2	144	202		21	0	7	0	16											damagedinmelee	21																	0
item_slowmelee	413		0	128		1	8							1				84	30		7	0	7	0											1	domeleedamage	19			77	19		ModSlowMelee	ModSlowMelee									2	0
item_slowranged	414		0	128		1	8							1				92	35		7	0	7	0											1	domissiledamage	19			77	19		ModSlowRanged	ModSlowRanged									2	0
item_necromancer_minions	415	necromancer	-4	12		1	6														6	10	4	4																23	19		ModNecromancerMinions	ModNecromancerMinions	NecOnly								2	0
item_druid_minions	416	druid	-4	12		1	6														6	10	4	4																23	19		ModDruidMinions	ModDruidMinions	DruOnly								2	0
item_summon_damage_percent	417		-30	226		1	7											181	72		7	10	8	30																26	19		ModSummonDamage	ModSummonDamage									2	0
item_summon_resist_percent	418		-30	98		1	7											159	57		7	10	7	30																25	19		ModSummonResist	ModSummonResist									2	0
item_summon_armor_percent	419		-30	98		1	7											174	70		7	10	7	30																24	19		ModSummonDefense	ModSummonDefense									2	0
item_coldspell_duration	420		-50	206		1	8											52	20		6	50	8	50																87	19		ModColdSpellDuration	ModColdSpellDuration									2	0
item_poisonspell_duration	421		-50	206		1	8											181	55		6	50	8	50																87	19		ModPoisonSpellDuration	ModPoisonSpellDuration									2	0
item_slowthorns	422		0	128		1	7							1				101	40		7	0	7	0												damagedinmelee	19			77	19		ModSlowThorns	ModSlowThorns									2	0
item_howlthorns	423		1	129		1	8							1				55	10		7	-1	7	-1												damagedinmelee	8			79	5		ModHowlThorns	ModHowlThorns									2	0
item_freezethorns	424		0	32		1	5							1				2804	307		5	0	5	0											1	damagedinmelee	14			78	12	2	ModFreezeThorns	ModFreezeThorns									2	0
item_stupiditythorns	425		0	128		1	7							1				332	1024		7	0	7	0											1	damagedinmelee	9			80	12	2	ModStupidThorns	ModStupidThorns									2	0
item_energy_pergems	426		0	256		1	8											105	128		6	0	8	0			2	3	flag_gem	energy										60	19		ModStr1d	ModStr1d	ModScalingGems									0
item_strength_perrunes	427		0	256		1	8											132	128		6	0	8	0			2	3	flag_rune	strength										66	19		ModStr1a	ModStr1a	ModScalingRunes									0
item_vitality_peruniques	428		0	256		1	8											105	128		6	0	8	0			2	3	flag_unique	vitality										60	19		ModStr1c	ModStr1c	ModScalingUniques									0
item_dexterity_persets	429		0	256		1	8											132	128		6	0	8	0			2	3	flag_set	dexterity										66	19		ModStr1b	ModStr1b	ModScalingSets									0
item_crushingblow_perstrength	430					1	6											213	1024		6	0	6	0			2	3	strength	item_crushingblow					1					86	19		ModStr5c	ModStr5c	ModScalingStrength									0
item_deadlystrike_perdexterity	431					1	6											118	512		6	0	6	0			2	3	dexterity	item_deadlystrike					1					84	19		ModStr5q	ModStr5q	ModScalingDexterity									0
item_maxhp_pergold	432					1	11											89	99		6	0	11	0			2	10	gold	maxhp										57	19		ModStr1u	ModStr1u	ModScalingGold									0
item_maxdamage_pertohit	433					1	6											59	244		6	0	6	0			4	3	tohit	maxdamage	secondary_maxdamage	item_throw_maxdamage			1					125	19		ModStr1f	ModStr1f	ModScalingTohit									0
item_find_magic_perfindgold	434					1	6											814	1024		6	0	6	0			2	3	item_goldbonus	item_magicbonus										7	19		ModStr1x	ModStr1x	ModScalingGoldFind								2	0
item_healingskill_percent	435		0	128		1	7											902	411		6	0	7	0																53	19		ModHealingSkillPct	ModHealingSkillPct									2	0
item_assassin_timer_percent	436	assassin	-100	28		1	8											577	102		1	0	7	100																119	19		ModAssassinTimerPct	ModAssassinTimerPctNeg	AssOnly								2	0
item_assassin_knives	437	assassin	0	4		1	2											44828	1421		1	0	2	0																80	19		ModAssassinKnives	ModAssassinKnives	AssOnly								2	0
item_assassin_kicks	438	assassin	0	8		1	3											10442	481		1	0	3	0																80	19		ModAssassinKicks	ModAssassinKicks	AssOnly								2	0
item_assassin_eggs	439	assassin	0	8		1	3											15282	506		1	0	3	0																80	19		ModAssassinEggs	ModAssassinEggs	AssOnly								2	0
item_barbarian_ricochets	440	barbarian	0	8		1	3											8306	309		1	0	3	0																80	19		ModBarbarianRicochets	ModBarbarianRicochets	BarOnly								2	0
item_barbarian_leapattack	441	barbarian	0	128		1	7											902	411		6	0	7	0																80	19		ModBarbarianLeapAttack	ModBarbarianLeapAttack	BarOnly								2	0
item_amazon_impale	442	amazon	0	128		1	7											984	424		6	0	7	0																80	19		ModAmazonImpale	ModAmazonImpale	AmaOnly								2	0
item_amazon_chainshot	443	amazon	0	8		1	3											8992	343		1	0	3	0																80	19		ModAmazonChainShot	ModAmazonChainShot	AmaOnly								2	0
item_amazon_timer_percent	444	amazon	-100	28		1	8											577	102		1	0	7	100																119	19		ModAmazonTimerPct	ModAmazonTimerPctNeg	AmaOnly								2	0
item_paladin_aurarange	445	paladin	0	32		1	6											577	102		1	0	5	3																119	19		ModPaladinAuraRange	ModPaladinAuraRange	PalOnly								2	0
item_paladin_conversiondur	446	paladin	0	128		1	8											577	102		1	0	7	0																80	19		ModPaladinConversionDur	ModPaladinConversionDur	PalOnly								2	0
item_necromancer_salt	447	necromancer	-100	28		1	8											434	99		1	0	7	100																80	19		ModNecromancerSalt	ModNecromancerSalt	NecOnly								2	0
item_sorceress_electrocute	448	sorceress	0	2		1	2											5096	988		1	0	1	0																80	19		ModSorcreressElectrocute	ModSorcreressElectrocute	SorOnly								2	0
item_skillonhit_corpse	449		0	128		1	7	16						1			2	190	256		21	0	7	0	16										1	domeleedamage	20	domissiledamage	20	161	19		ModProcCorpse	ModProcCorpse										0
item_skillonhit_aoe	450		0	128		1	7	16						1			2	190	256		21	0	7	0	16										1	domeleedamage	20	domissiledamage	20	161	19		ModProcAoe	ModProcAoe										0
item_randomres_aura	451	desc only					2														2	0	2	0																49	3		ModRandomResAura	ModRandomResAura										0
item_randomspeed_aura	452	desc only					2														2	0	2	0																49	3		ModRandomSpeedAura	ModRandomSpeedAura										0
automagic_str	453		0	256		1	8														8	0	8	0			2	3	strength	attackrate																								0
automagic_werebeast	454					1	8														8	0	8	0																109	19		ModWerebeastAutomagic	ModWerebeastAutomagic										0
automagic_slowthorns	455		0	128		1	7							1				101	40		7	0	7	0												damagedbymissile	19			77	19		ModSlowThornsRanged	ModSlowThornsRanged									2	0
automagic_weapsockets	456					1	2														8	0	2	0																109	19		ModWeapSocketsAutomagic	ModWeapSocketsAutomagic										0
automagic_armosockets	457					1	2														8	0	2	0																109	19		ModArmoSocketsAutomagic	ModArmoSocketsAutomagic										0
automagic_shldsockets	458					1	2														8	0	2	0																109	19		ModShldSocketsAutomagic	ModShldSocketsAutomagic										0
automagic_woundthorns	459		0	128		1	7							1				23	10		7	0	7	0											1	damagedinmelee	15			83	19		ModWoundThorns	ModWoundThorns									2	0
automagic_humandmg_percent	460		-50	462		1	12											19	12		9	20	9	50											1					112	19		ModDmgVsHumans	ModDmgVsHumans									2	0
automagic_insectdmg_percent	461		-50	462		1	12											13	12		9	20	9	50											1					111	19		ModDmgVsInsects	ModDmgVsInsects									2	0
automagic_constructdmg_percent	462		-50	462		1	12											13	12		9	20	9	50											1					110	19		ModDmgVsConstructs	ModDmgVsConstructs									2	0
inherent_staff	463	invisible automod				1	8											19	12		7	0	7	0																														0
inherent_wand	464	invisible automod				1	8											19	12		7	0	7	0																														0
inherent_orb	465	invisible automod				1	8											19	12		7	0	7	0																														0
inherent_scepter	466	invisible automod				1	8											19	12		7	0	7	0																														0
inherent_misc1	467	invisible automod				1	8											19	12		7	0	7	0																														0
inherent_misc2	468	invisible automod				1	8											19	12		7	0	7	0																														0
misc_levelreqstring	469		-64	64		1	8														7	20	7	64																0	19		ModLevelReqDisplay	ModLevelReqDisplay										0
misc_dmgacstring	470		-64	64		1	5														5	0	5	0																160	19		ModDmgAcDisplay	ModDmgAcDisplay										0
desc_randommods	471					1	2														2	0	2	0																170	19		ModRandomMods	ModRandomMods										0
desc_isupgradable	472					1	2														2	0	2	0																170	19		ModIsUpgradable	ModIsUpgradable										0
special_upgradetracker	473	trophy 2 upgrade tracker				1	5														5	0	5	0																1	19		ModDmgVsInsects	ModDmgVsInsects										0
