ItemType	*Laz/Id	*Laz/Merc	*Laz/Comment	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Placeholder Item Type 5688	5688			b18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5689	5689			b18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5690	5690			b18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5691	5691			b18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5692	5692			b18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5693	5693			b18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5694	5694			c18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5695	5695			c18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5696	5696			c18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5697	5697			c18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5698	5698			c18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5699	5699			c18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5700	5700			c18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5701	5701			c18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5702	5702			c18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5703	5703			c18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5704	5704			c18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5705	5705			c18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5706	5706			c18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5707	5707			c18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5708	5708			c18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5709	5709			c18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5710	5710			c18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5711	5711			c18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5712	5712			c18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5713	5713			c18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5714	5714			c18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5715	5715			c18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5716	5716			c18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5717	5717			c18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5718	5718			c18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5719	5719			c18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5720	5720			d18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5721	5721			d18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5722	5722			d18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5723	5723			d18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5724	5724			d18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5725	5725			d18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5726	5726			d18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5727	5727			d18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5728	5728			d18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5729	5729			d18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5730	5730			d18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5731	5731			d18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5732	5732			d18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5733	5733			d18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5734	5734			d18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5735	5735			d18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5736	5736			d18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5737	5737			d18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5738	5738			d18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5739	5739			d18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5740	5740			d18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5741	5741			d18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5742	5742			d18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5743	5743			d18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5744	5744			d18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5745	5745			d18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5746	5746			e18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5747	5747			e18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5748	5748			e18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5749	5749			e18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5750	5750			e18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5751	5751			e18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5752	5752			e18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5753	5753			e18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5754	5754			e18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5755	5755			e18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5756	5756			e18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5757	5757			e18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5758	5758			e18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5759	5759			e18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5760	5760			e18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5761	5761			e18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5762	5762			e18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5763	5763			e18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5764	5764			e18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5765	5765			e18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5766	5766			e18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5767	5767			e18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5768	5768			e18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5769	5769			e18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5770	5770			e18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5771	5771			e18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5772	5772			f18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5773	5773			f18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5774	5774			f18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5775	5775			f18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5776	5776			f18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5777	5777			f18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5778	5778			f18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5779	5779			f18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5780	5780			f18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5781	5781			f18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5782	5782			f18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5783	5783			f18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5784	5784			f18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5785	5785			f18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5786	5786			f18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5787	5787			f18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5788	5788			f18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5789	5789			f18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5790	5790			f18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5791	5791			f18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5792	5792			f18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5793	5793			f18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5794	5794			f18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5795	5795			f18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5796	5796			f18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5797	5797			f18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5798	5798			g18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5799	5799			g18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5800	5800			g18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5801	5801			g18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5802	5802			g18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5803	5803			g18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5804	5804			g18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5805	5805			g18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5806	5806			g18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5807	5807			g18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5808	5808			g18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5809	5809			g18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5810	5810			g18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5811	5811			g18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5812	5812			g18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5813	5813			g18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5814	5814			g18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5815	5815			g18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5816	5816			g18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5817	5817			g18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5818	5818			g18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5819	5819			g18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5820	5820			g18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5821	5821			g18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5822	5822			g18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5823	5823			g18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5824	5824			h18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5825	5825			h18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5826	5826			h18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5827	5827			h18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5828	5828			h18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5829	5829			h18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5830	5830			h18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5831	5831			h18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5832	5832			h18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5833	5833			h18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5834	5834			h18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5835	5835			h18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5836	5836			h18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5837	5837			h18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5838	5838			h18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5839	5839			h18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5840	5840			h18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5841	5841			h18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5842	5842			h18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5843	5843			h18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5844	5844			h18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5845	5845			h18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5846	5846			h18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5847	5847			h18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5848	5848			h18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5849	5849			h18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5850	5850			i18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5851	5851			i18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5852	5852			i18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5853	5853			i18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5854	5854			i18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5855	5855			i18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5856	5856			i18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5857	5857			i18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5858	5858			i18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5859	5859			i18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5860	5860			i18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5861	5861			i18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5862	5862			i18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5863	5863			i18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5864	5864			i18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5865	5865			i18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5866	5866			i18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5867	5867			i18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5868	5868			i18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5869	5869			i18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5870	5870			i18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5871	5871			i18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5872	5872			i18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5873	5873			i18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5874	5874			i18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5875	5875			i18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5876	5876			j18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5877	5877			j18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5878	5878			j18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5879	5879			j18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5880	5880			j18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5881	5881			j18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5882	5882			j18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5883	5883			j18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5884	5884			j18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5885	5885			j18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5886	5886			j18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5887	5887			j18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5888	5888			j18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5889	5889			j18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5890	5890			j18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5891	5891			j18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5892	5892			j18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5893	5893			j18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5894	5894			j18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5895	5895			j18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5896	5896			j18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5897	5897			j18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5898	5898			j18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5899	5899			j18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5900	5900			j18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5901	5901			j18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5902	5902			k18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5903	5903			k18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5904	5904			k18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5905	5905			k18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5906	5906			k18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5907	5907			k18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5908	5908			k18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5909	5909			k18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5910	5910			k18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5911	5911			k18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5912	5912			k18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5913	5913			k18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5914	5914			k18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5915	5915			k18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5916	5916			k18o			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5917	5917			k18p			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5918	5918			k18q			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5919	5919			k18r			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5920	5920			k18s			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5921	5921			k18t			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5922	5922			k18u			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5923	5923			k18v			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5924	5924			k18w			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5925	5925			k18x			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5926	5926			k18y			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5927	5927			k18z			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5928	5928			l18a			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5929	5929			l18b			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5930	5930			l18c			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5931	5931			l18d			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5932	5932			l18e			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5933	5933			l18f			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5934	5934			l18g			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5935	5935			l18h			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5936	5936			l18i			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5937	5937			l18j			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5938	5938			l18k			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5939	5939			l18l			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5940	5940			l18m			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder Item Type 5941	5941			l18n			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
